"title","estimate","all consumer units","less than $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $69,999","$70,000 and over"
"        Bathroom linens                                     ","MEAN",0.43,0.19,0.14,0.14,0.19,0.31,0.28,0.38,0.38,0.69
"        Bathroom linens                                     ","SE",0.03,0.06,0.07,0.06,0.06,0.06,0.08,0.09,0.09,0.07
"        Bedroom linens                                      ","MEAN",0.96,0.33,0.22,0.59,0.45,0.32,0.51,1.02,1.05,1.56
"        Bedroom linens                                      ","SE",0.12,0.17,0.15,0.23,0.24,0.11,0.16,0.29,0.31,0.24
"        Slipcovers, decorative pillows                      ","MEAN",0.1,0,0,0.05,0,0.05,0,0.23,0.04,0.2
"        Slipcovers, decorative pillows                      ","SE",0.03,0,0,0.04,0,0.05,0,0.15,0.02,0.07
"        Kitchen, dining room, other linens                  ","MEAN",0.13,0.02,0.04,0.01,0.08,0.04,0.09,0.07,0.18,0.22
"        Kitchen, dining room, other linens                  ","SE",0.02,0.01,0.03,0.01,0.03,0.02,0.04,0.02,0.06,0.05
"      Furniture                                             ","MEAN",0.7,0,0.3,0.01,0.01,0.21,0.19,0.56,0.35,1.57
"      Furniture                                             ","SE",0.18,0,0.2,0.01,0.01,0.19,0.1,0.35,0.17,0.5
"        Outdoor furniture                                   ","MEAN",0.7,0,0.3,0.01,0.01,0.21,0.19,0.56,0.35,1.57
"        Outdoor furniture                                   ","SE",0.18,0,0.2,0.01,0.01,0.19,0.1,0.35,0.17,0.5
"      Floor coverings                                       ","MEAN",0.88,0.03,0.02,0.11,0.04,0.2,0.23,0.75,0.84,1.81
"      Floor coverings                                       ","SE",0.23,0.03,0.02,0.1,0.02,0.08,0.09,0.43,0.4,0.62
"        Room size rugs and other floor covering, nonpermanen","MEAN",0.88,0.03,0.02,0.11,0.04,0.2,0.23,0.75,0.84,1.81
"        Room size rugs and other floor covering, nonpermanen","SE",0.23,0.03,0.02,0.1,0.02,0.08,0.09,0.43,0.4,0.62
"      Major appliances                                      ","MEAN",0.6,0.09,0.04,0.12,0.06,0.1,0.29,0.56,0.61,1.15
"      Major appliances                                      ","SE",0.18,0.09,0.04,0.13,0.06,0.08,0.16,0.26,0.26,0.5
"        Electric floor cleaning equipment                   ","MEAN",0.37,0.09,0.04,0.12,0.06,0.08,0.29,0.49,0.59,0.52
"        Electric floor cleaning equipment                   ","SE",0.08,0.09,0.04,0.13,0.06,0.08,0.16,0.25,0.26,0.2
"        Sewing machines                                     ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Miscellaneous household appliances                  ","MEAN",0.23,0,0,0,0,0.03,0,0.07,0.01,0.63
"        Miscellaneous household appliances                  ","SE",0.15,0,0,0,0,0.03,0,0.03,0.01,0.44
"      Small appliances, miscellaneous housewares            ","MEAN",1.51,0.91,0.51,0.7,0.77,0.89,1.13,2,1.28,2.23
"      Small appliances, miscellaneous housewares            ","SE",0.11,0.35,0.2,0.28,0.2,0.23,0.29,0.55,0.15,0.23
"        Housewares                                          ","MEAN",1.26,0.57,0.45,0.46,0.64,0.62,1.03,1.61,1.13,1.92
"        Housewares                                          ","SE",0.1,0.23,0.19,0.17,0.17,0.14,0.28,0.47,0.15,0.2
"          Nonelectric cookware                              ","MEAN",0.39,0.25,0.27,0.03,0.27,0.12,0.38,0.79,0.27,0.54
"          Nonelectric cookware                              ","SE",0.05,0.13,0.17,0.02,0.1,0.04,0.15,0.43,0.06,0.11
"          Tableware, nonelectric kitchenware                ","MEAN",0.44,0.19,0.11,0.19,0.15,0.17,0.38,0.46,0.4,0.72
"          Tableware, nonelectric kitchenware                ","SE",0.04,0.1,0.05,0.1,0.08,0.05,0.14,0.12,0.08,0.09
"          Dinnerware, glassware, serving pieces             ","MEAN",0.43,0.13,0.07,0.23,0.21,0.32,0.27,0.35,0.47,0.66
"          Dinnerware, glassware, serving pieces             ","SE",0.04,0.05,0.03,0.15,0.08,0.12,0.07,0.1,0.1,0.08
"        Small appliances                                    ","MEAN",0.25,0.33,0.06,0.24,0.13,0.27,0.11,0.39,0.14,0.31
"        Small appliances                                    ","SE",0.05,0.27,0.06,0.18,0.07,0.16,0.05,0.3,0.05,0.1
"          Portable heating and cooling equipment            ","MEAN",0.25,0.33,0.06,0.24,0.13,0.27,0.11,0.39,0.14,0.31
"          Portable heating and cooling equipment            ","SE",0.05,0.27,0.06,0.18,0.07,0.16,0.05,0.3,0.05,0.1
"      Miscellaneous household equipment                     ","MEAN",10.68,3.01,5.61,3.4,3.97,4.9,7.29,8.46,10.87,17.91
"      Miscellaneous household equipment                     ","SE",0.57,0.86,2.06,0.57,0.66,0.66,1.15,1.16,1.29,1.21
"        Infants'' equipment                                 ","MEAN",0.26,0.06,0.27,0.28,0.03,0.05,0.17,0.1,0.27,0.45
"        Infants'' equipment                                 ","SE",0.05,0.06,0.25,0.18,0.03,0.03,0.13,0.06,0.15,0.11
"        Laundry and cleaning equipment                      ","MEAN",0.35,0.11,0.13,0.35,0.2,0.16,0.24,0.36,0.39,0.51
"        Laundry and cleaning equipment                      ","SE",0.02,0.04,0.06,0.11,0.04,0.04,0.04,0.07,0.06,0.04
"        Outdoor equipment                                   ","MEAN",0.49,0,0.1,0.09,0.06,0.45,0.42,0.18,0.44,0.87
"        Outdoor equipment                                   ","SE",0.08,0,0.07,0.06,0.05,0.27,0.31,0.08,0.16,0.18
"        Lamps, lighting fixtures, ceiling fans              ","MEAN",0.57,0.17,0,0.04,0.33,0.36,0.42,0.19,0.26,1.14
"        Lamps, lighting fixtures, ceiling fans              ","SE",0.09,0.1,0,0.02,0.21,0.15,0.17,0.07,0.08,0.25
"        Clocks and other household decorative items         ","MEAN",2.14,0.69,0.4,0.51,0.56,0.72,1.32,2.17,2.51,3.58
"        Clocks and other household decorative items         ","SE",0.17,0.18,0.15,0.12,0.2,0.13,0.32,0.64,0.54,0.32
"        Telephones and accessories                          ","MEAN",1.07,0.39,1.87,0.19,0.55,0.82,0.83,1.06,1.26,1.4
"        Telephones and accessories                          ","SE",0.15,0.36,1.79,0.09,0.52,0.36,0.39,0.57,0.38,0.24
"        Lawn and garden equipment                           ","MEAN",1.16,0.12,0.16,0.2,0.54,0.49,0.94,0.37,1.33,2.07
"        Lawn and garden equipment                           ","SE",0.29,0.07,0.14,0.14,0.09,0.2,0.54,0.15,0.77,0.72
"        Power tools                                         ","MEAN",0.66,0.71,0.19,0.49,0.32,0.52,0.42,0.66,0.9,0.82
"        Power tools                                         ","SE",0.08,0.51,0.1,0.37,0.19,0.31,0.19,0.21,0.29,0.16
"        Hand tools                                          ","MEAN",0.43,0.05,0.11,0.05,0.05,0.14,0.37,0.5,0.63,0.64
"        Hand tools                                          ","SE",0.06,0.05,0.07,0.03,0.03,0.07,0.15,0.18,0.2,0.12
"        Indoor plants, fresh flowers                        ","MEAN",0.82,0.07,0.21,0.2,0.22,0.25,0.39,0.57,0.53,1.67
"        Indoor plants, fresh flowers                        ","SE",0.1,0.04,0.08,0.08,0.08,0.08,0.09,0.11,0.09,0.26
"        Closet and storage items                            ","MEAN",0.25,0.05,0.13,0.02,0.05,0.07,0.12,0.28,0.25,0.45
"        Closet and storage items                            ","SE",0.04,0.03,0.13,0.01,0.02,0.02,0.03,0.13,0.07,0.1
"        Computer software                                   ","MEAN",0.29,0.16,0.29,0.31,0.15,0.03,0.29,0.12,0.43,0.41
"        Computer software                                   ","SE",0.03,0.14,0.29,0.26,0.1,0.03,0.17,0.09,0.13,0.07
"        Computer accessories                                ","MEAN",0.75,0.15,0.96,0.07,0.32,0.2,0.53,0.44,0.79,1.29
"        Computer accessories                                ","SE",0.07,0.09,0.52,0.06,0.13,0.08,0.22,0.13,0.16,0.18
"        Other hardware                                      ","MEAN",0.24,0.09,0.13,0.17,0.01,0.12,0.06,0.1,0.07,0.52
"        Other hardware                                      ","SE",0.1,0.07,0.09,0.16,0.01,0.05,0.03,0.06,0.03,0.27
"        Miscellaneous household equipment and parts         ","MEAN",0.9,0.19,0.66,0.27,0.51,0.5,0.64,1.26,0.77,1.34
"        Miscellaneous household equipment and parts         ","SE",0.09,0.06,0.36,0.08,0.14,0.12,0.26,0.44,0.17,0.18
"        Luggage                                             ","MEAN",0.31,0,0,0.16,0.09,0,0.14,0.11,0.05,0.77
"        Luggage                                             ","SE",0.09,0,0,0.13,0.06,0,0.09,0.07,0.02,0.25
"  Apparel and services                                      ","MEAN",28.78,15.83,10.99,12.06,12.06,15.48,22.3,25.55,26.66,45.92
"  Apparel and services                                      ","SE",0.98,3.63,1.82,1.69,1.46,1.39,2.98,2.45,1.61,2.21
"    Men and boys                                            ","MEAN",6.7,4.59,2.13,2.37,3.09,3.42,5.35,5.46,5.94,10.89
"    Men and boys                                            ","SE",0.25,1.44,0.58,0.57,0.62,0.44,0.81,0.71,0.63,0.63
"      Men, 16 and over                                      ","MEAN",5.66,3.73,1.98,1.98,2.73,2.93,4.22,4.07,5.14,9.36
"      Men, 16 and over                                      ","SE",0.24,1.22,0.58,0.56,0.6,0.4,0.71,0.5,0.64,0.6
"        Men''s sportcoats, tailored jackets                 ","MEAN",0.03,0,0,0,0.12,0,0,0,0.01,0.07
"        Men''s sportcoats, tailored jackets                 ","SE",0.02,0,0,0,0.12,0,0,0,0.01,0.06
"        Men''s coats and jackets                            ","MEAN",0.45,0.18,0.2,0.26,0.04,0.38,0.73,0.24,0.55,0.56
"        Men''s coats and jackets                            ","SE",0.06,0.14,0.13,0.12,0.04,0.1,0.31,0.16,0.15,0.13
"        Men''s underwear                                    ","MEAN",0.6,0.48,0.23,0.23,0.21,0.19,0.58,0.47,0.65,0.94
"        Men''s underwear                                    ","SE",0.04,0.21,0.1,0.1,0.09,0.07,0.11,0.07,0.12,0.1
"        Men''s hosiery                                      ","MEAN",0.37,0.14,0.16,0.2,0.19,0.21,0.32,0.16,0.36,0.61
"        Men''s hosiery                                      ","SE",0.03,0.06,0.07,0.08,0.07,0.06,0.08,0.04,0.07,0.07
"        Men''s accessories                                  ","MEAN",0.54,0.71,0.16,0.19,0.2,0.17,0.35,0.33,0.4,0.96
"        Men''s accessories                                  ","SE",0.07,0.67,0.08,0.09,0.07,0.04,0.1,0.07,0.1,0.13
"        Men''s active sportswear                            ","MEAN",0.5,0.17,0.05,0.25,0.26,0.23,0.17,0.26,0.36,0.96
"        Men''s active sportswear                            ","SE",0.05,0.1,0.05,0.13,0.13,0.09,0.07,0.1,0.13,0.15
"        Men''s shirts, sweaters, and vests                  ","MEAN",1.76,1.13,0.49,0.5,1.07,0.87,0.92,1.38,1.32,3.12
"        Men''s shirts, sweaters, and vests                  ","SE",0.12,0.51,0.29,0.16,0.28,0.16,0.21,0.25,0.17,0.33
"        Men''s pants and shorts                             ","MEAN",1.39,0.92,0.69,0.3,0.63,0.86,1.09,1.22,1.5,2.09
"        Men''s pants and shorts                             ","SE",0.08,0.34,0.27,0.13,0.22,0.2,0.24,0.25,0.26,0.18
"        Men''s uniforms                                     ","MEAN",0.03,0,0,0.04,0,0.01,0.06,0.01,0,0.06
"        Men''s uniforms                                     ","SE",0.01,0,0,0.04,0,0.01,0.06,0.01,0,0.03
"      Boys, 2 to 15                                         ","MEAN",1.04,0.86,0.15,0.4,0.36,0.5,1.13,1.39,0.8,1.54
"      Boys, 2 to 15                                         ","SE",0.09,0.5,0.09,0.23,0.11,0.12,0.29,0.42,0.17,0.18
"        Boy''s shirts and sweaters                          ","MEAN",0.43,0.24,0.01,0.08,0.22,0.26,0.55,0.59,0.39,0.59
"        Boy''s shirts and sweaters                          ","SE",0.04,0.13,0.01,0.05,0.07,0.08,0.13,0.22,0.12,0.08
"        Boys'' underwear                                    ","MEAN",0.22,0.27,0.11,0.15,0.02,0.11,0.25,0.24,0.15,0.34
"        Boys'' underwear                                    ","SE",0.02,0.17,0.09,0.1,0.01,0.07,0.07,0.09,0.05,0.06
"        Boys'' nightwear                                    ","MEAN",0.08,0,0.03,0.08,0.03,0.04,0.02,0.09,0.07,0.13
"        Boys'' nightwear                                    ","SE",0.02,0,0.03,0.08,0.02,0.02,0.01,0.04,0.03,0.04
"        Boys'' hosiery                                      ","MEAN",0.17,0.22,0.01,0.02,0.03,0.06,0.18,0.13,0.09,0.3
"        Boys'' hosiery                                      ","SE",0.02,0.19,0.01,0.02,0.02,0.03,0.13,0.04,0.03,0.05
"        Boys'' accessories                                  ","MEAN",0.09,0.04,0,0.06,0.05,0.03,0.14,0.1,0.06,0.14
"        Boys'' accessories                                  ","SE",0.02,0.04,0,0.06,0.03,0.01,0.1,0.04,0.03,0.04
"        Boys'' suits, sportcoats, vests                     ","MEAN",0.05,0.09,0,0,0,0,0,0.25,0.05,0.03
"        Boys'' suits, sportcoats, vests                     ","SE",0.02,0.09,0,0,0,0,0,0.21,0.05,0.02
"    Women and girls                                         ","MEAN",11.97,6.01,4.31,5.33,5,7.48,9.34,10.59,11.57,18.57
"    Women and girls                                         ","SE",0.53,1.62,1.12,0.91,0.79,1.15,1.54,1.2,0.91,1.11
"      Women, 16 and over                                    ","MEAN",10.43,4.79,3.69,4.31,4.71,6.78,8.38,8.37,10.32,16.2
"      Women, 16 and over                                    ","SE",0.52,1.26,1.03,0.63,0.76,1.12,1.56,0.99,0.87,1.07
"        Women''s coats and jackets                          ","MEAN",0.82,0.61,0.55,0.22,0.33,0.4,0.3,0.71,0.9,1.34
"        Women''s coats and jackets                          ","SE",0.17,0.35,0.43,0.11,0.15,0.16,0.09,0.22,0.21,0.47
"        Women''s dresses                                    ","MEAN",1.7,0.45,0.15,0.32,0.88,1.37,1.73,1.72,1.14,2.71
"        Women''s dresses                                    ","SE",0.24,0.25,0.1,0.13,0.37,0.75,0.67,0.51,0.36,0.43
"        Women''s sportcoats, tailored jackets               ","MEAN",0.03,0.01,0,0,0.01,0.05,0,0,0.05,0.04
"        Women''s sportcoats, tailored jackets               ","SE",0.01,0.01,0,0,0.01,0.04,0,0,0.03,0.02
"        Women''s sweaters, shirts, tops, vests              ","MEAN",2.83,1.39,0.89,1.04,1.3,1.47,2.27,1.58,3.1,4.59
"        Women''s sweaters, shirts, tops, vests              ","SE",0.16,0.41,0.25,0.26,0.26,0.19,0.41,0.2,0.32,0.32
"        Women''s skirts                                     ","MEAN",0.22,0.11,0.02,0.06,0.1,0.11,0.17,0.12,0.17,0.38
"        Women''s skirts                                     ","SE",0.04,0.08,0.02,0.04,0.07,0.05,0.08,0.05,0.05,0.09
"        Women''s pants and shorts                           ","MEAN",1.58,0.6,0.63,1.17,0.48,1.09,1.29,0.99,1.36,2.56
"        Women''s pants and shorts                           ","SE",0.09,0.2,0.37,0.27,0.14,0.17,0.28,0.23,0.21,0.21
"        Women''s active sportswear                          ","MEAN",0.49,0.34,0.1,0.22,0.18,0.17,0.43,0.48,0.55,0.75
"        Women''s active sportswear                          ","SE",0.06,0.25,0.09,0.1,0.08,0.05,0.18,0.18,0.12,0.14
"        Women''s sleepwear                                  ","MEAN",0.42,0.19,0.51,0.34,0.18,0.39,0.45,0.47,0.33,0.53
"        Women''s sleepwear                                  ","SE",0.05,0.11,0.25,0.14,0.1,0.18,0.13,0.11,0.1,0.08
"        Women''s undergarments                              ","MEAN",0.64,0.4,0.3,0.21,0.26,0.55,0.4,0.47,0.53,1.05
"        Women''s undergarments                              ","SE",0.06,0.24,0.16,0.06,0.09,0.13,0.12,0.12,0.12,0.14
"        Women''s hosiery                                    ","MEAN",0.36,0.14,0.23,0.25,0.21,0.2,0.4,0.3,0.39,0.48
"        Women''s hosiery                                    ","SE",0.03,0.08,0.07,0.05,0.06,0.05,0.16,0.05,0.06,0.05
"        Women''s accessories                                ","MEAN",1.26,0.55,0.31,0.48,0.77,0.96,0.78,1.42,1.63,1.71
"        Women''s accessories                                ","SE",0.11,0.24,0.14,0.11,0.29,0.27,0.27,0.35,0.31,0.17
"        Women''s uniforms                                   ","MEAN",0.07,0,0,0,0,0.01,0.16,0.09,0.18,0.05
"        Women''s uniforms                                   ","SE",0.02,0,0,0,0,0.01,0.16,0.06,0.06,0.03
"      Girls, 2 to 15                                        ","MEAN",1.54,1.23,0.62,1.02,0.3,0.7,0.96,2.22,1.26,2.37
"      Girls, 2 to 15                                        ","SE",0.11,0.6,0.31,0.58,0.07,0.13,0.21,0.52,0.19,0.21
"        Girls'' coats and jackets                           ","MEAN",0.14,0.23,0.35,0.12,0.02,0.04,0.09,0.14,0.16,0.19
"        Girls'' coats and jackets                           ","SE",0.02,0.18,0.24,0.12,0.02,0.03,0.06,0.07,0.06,0.04
"        Girls'' dresses and suits                           ","MEAN",0.27,0.08,0.03,0.16,0.07,0.13,0.25,0.43,0.21,0.41
"        Girls'' dresses and suits                           ","SE",0.04,0.08,0.04,0.11,0.05,0.06,0.13,0.29,0.07,0.08
"        Girls'' shirts, blouses, sweaters, vests            ","MEAN",0.54,0.32,0.12,0.37,0.09,0.29,0.28,0.58,0.43,0.91
"        Girls'' shirts, blouses, sweaters, vests            ","SE",0.04,0.19,0.05,0.15,0.04,0.09,0.09,0.13,0.08,0.12
"        Girls'' active sportswear                           ","MEAN",0.19,0.13,0.05,0.09,0.05,0.04,0.06,0.47,0.14,0.31
"        Girls'' active sportswear                           ","SE",0.03,0.1,0.05,0.09,0.03,0.02,0.04,0.18,0.05,0.07
"        Girls'' underwear and sleepwear                     ","MEAN",0.19,0.27,0,0.13,0.01,0.11,0.14,0.36,0.17,0.24
"        Girls'' underwear and sleepwear                     ","SE",0.02,0.14,0,0.07,0.01,0.03,0.05,0.13,0.05,0.04
"        Girls'' hosiery                                     ","MEAN",0.11,0.13,0.03,0.1,0.02,0.04,0.08,0.09,0.08,0.19
"        Girls'' hosiery                                     ","SE",0.01,0.09,0.03,0.06,0.01,0.02,0.03,0.03,0.02,0.02
"        Girls'' accessories                                 ","MEAN",0.09,0.07,0.04,0.05,0.04,0.06,0.05,0.15,0.07,0.13
"        Girls'' accessories                                 ","SE",0.02,0.07,0.03,0.04,0.02,0.02,0.02,0.08,0.02,0.03
"    Children under 2                                        ","MEAN",1.45,0.53,1.31,0.76,0.84,1.05,1.02,1.26,1.35,2.14
"    Children under 2                                        ","SE",0.1,0.25,0.42,0.24,0.26,0.17,0.22,0.21,0.22,0.22
"      Infant dresses, outerwear                             ","MEAN",0.35,0.13,0.13,0.11,0.09,0.19,0.22,0.24,0.23,0.65
"      Infant dresses, outerwear                             ","SE",0.04,0.09,0.08,0.06,0.04,0.06,0.07,0.09,0.06,0.11
"      Infant underwear                                      ","MEAN",0.85,0.3,1.12,0.47,0.56,0.65,0.7,0.92,0.86,1.1
"      Infant underwear                                      ","SE",0.08,0.21,0.36,0.14,0.19,0.14,0.2,0.18,0.18,0.13
"      Infant nightwear, loungewear                          ","MEAN",0.07,0.02,0.03,0.06,0.06,0.04,0.06,0.02,0.07,0.12
"      Infant nightwear, loungewear                          ","SE",0.01,0.02,0.03,0.05,0.04,0.02,0.04,0.01,0.04,0.03
"      Infant accessories                                    ","MEAN",0.17,0.08,0.04,0.12,0.13,0.16,0.04,0.09,0.19,0.27
"      Infant accessories                                    ","SE",0.02,0.04,0.02,0.06,0.05,0.05,0.02,0.04,0.06,0.04
"    Footwear                                                ","MEAN",7.05,4.32,2.95,3.31,2.75,3.17,5.8,7.18,7.03,10.83
"    Footwear                                                ","SE",0.33,1.3,0.81,0.62,0.5,0.4,1.52,1.03,0.84,0.74
"      Men''s footwear                                       ","MEAN",2.13,1.64,0.94,1.1,1.02,0.81,1.18,1.38,2.3,3.51
"      Men''s footwear                                       ","SE",0.15,1.04,0.5,0.45,0.27,0.2,0.38,0.41,0.56,0.42
"      Boys'' footwear                                       ","MEAN",1.02,1.06,0.47,0.28,0.13,0.64,1.46,1.54,0.8,1.32
"      Boys'' footwear                                       ","SE",0.15,0.8,0.39,0.19,0.06,0.17,1.02,0.39,0.27,0.2
"      Women''s footwear                                     ","MEAN",3.25,1.06,1.35,1.34,1.38,1.42,2.57,3.07,3.58,5.07
"      Women''s footwear                                     ","SE",0.22,0.27,0.48,0.3,0.39,0.22,0.55,0.49,0.56,0.53
"      Girls'' footwear                                      ","MEAN",0.66,0.56,0.19,0.59,0.21,0.3,0.59,1.2,0.34,0.94
"      Girls'' footwear                                      ","SE",0.06,0.27,0.1,0.25,0.09,0.13,0.2,0.45,0.09,0.13
"    Other apparel products and services                     ","MEAN",1.61,0.38,0.28,0.28,0.38,0.36,0.8,1.07,0.76,3.48
"    Other apparel products and services                     ","SE",0.45,0.16,0.16,0.12,0.17,0.16,0.31,0.21,0.21,1.24
"      Material and supplies for sewing, needlework, quilting","MEAN",0.52,0.25,0.09,0.22,0.23,0.32,0.28,0.51,0.52,0.84
"      Material and supplies for sewing, needlework, quilting","SE",0.06,0.11,0.05,0.13,0.15,0.16,0.08,0.14,0.12,0.13
"      Watches                                               ","MEAN",1.09,0.13,0.19,0.06,0.15,0.05,0.51,0.55,0.24,2.65
"      Watches                                               ","SE",0.44,0.1,0.14,0.04,0.07,0.02,0.29,0.13,0.18,1.24
"  Transportation                                            ","MEAN",66.65,27.65,20.56,30.5,37.78,48.36,52.79,60.89,72.06,96.12
"  Transportation                                            ","SE",1.35,3.29,2.54,2.59,2.86,2.16,3.42,2.92,3.08,2.87
"    Gasoline, motor oil, and additives                      ","MEAN",41.71,20.06,14.84,19.41,23.15,29.13,34.28,40.29,45.34,59.06
"    Gasoline, motor oil, and additives                      ","SE",0.62,2.15,1.78,1.43,1.6,0.79,1.36,1.34,1.56,1.14
"      Gasoline and diesel fuel                              ","MEAN",41.36,19.66,14.61,19.12,23,28.9,33.96,39.96,44.86,58.65
"      Gasoline and diesel fuel                              ","SE",0.61,2.14,1.76,1.41,1.58,0.77,1.33,1.35,1.55,1.12
"        Gasoline                                            ","MEAN",40.6,19.56,14.61,18.75,22.8,28.54,33.44,39.74,43,57.71
"        Gasoline                                            ","SE",0.6,2.14,1.76,1.31,1.56,0.79,1.31,1.37,1.37,1.07
"        Diesel fuel                                         ","MEAN",0.76,0.1,0,0.37,0.2,0.35,0.52,0.22,1.87,0.94
"        Diesel fuel                                         ","SE",0.29,0.11,0,0.34,0.17,0.18,0.23,0.1,1.54,0.24
"      Motor oil, coolants and other additives               ","MEAN",0.35,0.4,0.23,0.29,0.15,0.24,0.32,0.34,0.48,0.41
"      Motor oil, coolants and other additives               ","SE",0.04,0.14,0.1,0.11,0.05,0.08,0.15,0.13,0.13,0.07
"        Motor oil                                           ","MEAN",0.21,0.29,0.02,0.13,0.11,0.1,0.19,0.21,0.23,0.28
"        Motor oil                                           ","SE",0.03,0.12,0.01,0.06,0.05,0.04,0.08,0.09,0.05,0.06
"        Coolant, brake fluid, transmission fluid, and other ","MEAN",0.15,0.11,0.21,0.17,0.03,0.13,0.13,0.13,0.25,0.13
"        Coolant, brake fluid, transmission fluid, and other ","SE",0.02,0.07,0.1,0.08,0.02,0.05,0.07,0.05,0.14,0.02
"    Other vehicle expenses                                  ","MEAN",24.51,7.31,5.52,11,14.46,18.86,18.24,20.3,26.42,36.33
"    Other vehicle expenses                                  ","SE",1.1,2.16,1.62,2,2.1,2.33,2.8,2.21,2.32,2.38
"      Maintenance and repairs                               ","MEAN",2.66,0.86,0.61,0.39,0.93,1.87,2.02,2.07,2.74,4.33
"      Maintenance and repairs                               ","SE",0.23,0.39,0.31,0.19,0.24,0.93,0.8,0.53,0.57,0.48
"        Vehicle products and cleaning services              ","MEAN",0.17,0.13,0.01,0.04,0.06,0.11,0.1,0.4,0.09,0.25
"        Vehicle products and cleaning services              ","SE",0.03,0.08,0.01,0.03,0.03,0.04,0.04,0.26,0.03,0.07
"        Misc. auto repair, servicing                        ","MEAN",1.88,0.73,0.6,0.35,0.86,1.04,1.49,1.26,2.39,2.92
"        Misc. auto repair, servicing                        ","SE",0.13,0.37,0.31,0.19,0.23,0.27,0.39,0.26,0.48,0.35
"        Gas tank repair, replacement                        ","MEAN",0.61,0,0,0,0,0.72,0.43,0.4,0.25,1.16
"        Gas tank repair, replacement                        ","SE",0.15,0,0,0,0,0.76,0.53,0.3,0.26,0.32
"      Vehicle insurance                                     ","MEAN",21.39,6.29,4.89,10.53,13.45,16.85,16.03,17.91,23.25,31.1
"      Vehicle insurance                                     ","SE",1.03,2.01,1.54,2.04,2.04,2.24,2.53,2.09,2.1,2.17
"      Vehicle rental, leases, licenses, and other charges   ","MEAN",0.46,0.16,0.02,0.07,0.08,0.14,0.18,0.32,0.43,0.9
"      Vehicle rental, leases, licenses, and other charges   ","SE",0.04,0.14,0.02,0.05,0.05,0.04,0.08,0.09,0.11,0.12
"        Tolls or electronic toll passes                     ","MEAN",0.46,0.16,0.02,0.07,0.08,0.14,0.18,0.32,0.43,0.9
"        Tolls or electronic toll passes                     ","SE",0.04,0.14,0.02,0.05,0.05,0.04,0.08,0.09,0.11,0.12
"    Public and other transportation                         ","MEAN",0.43,0.28,0.21,0.08,0.18,0.37,0.27,0.3,0.3,0.73
"    Public and other transportation                         ","SE",0.06,0.2,0.13,0.04,0.09,0.17,0.13,0.08,0.08,0.13
"      Taxi fares and limousine services                     ","MEAN",0.43,0.28,0.21,0.08,0.18,0.37,0.27,0.3,0.3,0.73
"      Taxi fares and limousine services                     ","SE",0.06,0.2,0.13,0.04,0.09,0.17,0.13,0.08,0.08,0.13
"  Healthcare                                                ","MEAN",3.8,2.66,1.59,1.86,2.52,2.94,2.82,3.53,3.48,5.48
"  Healthcare                                                ","SE",0.16,0.8,0.35,0.34,0.46,0.31,0.31,0.35,0.37,0.29
"    Medical services                                        ","MEAN",0,0,0,0,0,0.02,0,0,0,0
"    Medical services                                        ","SE",0,0,0,0,0,0.02,0,0,0,0
"      Repair of medical equipment                           ","MEAN",0,0,0,0,0,0.02,0,0,0,0
"      Repair of medical equipment                           ","SE",0,0,0,0,0,0.02,0,0,0,0
"    Drugs                                                   ","MEAN",3,2.14,1.27,1.51,2.06,2.31,2.17,2.73,2.71,4.34
"    Drugs                                                   ","SE",0.13,0.75,0.3,0.3,0.41,0.28,0.26,0.27,0.33,0.25
"      Nonprescription drugs                                 ","MEAN",1.92,1.02,0.73,0.88,1.18,1.59,1.6,1.84,1.84,2.69
"      Nonprescription drugs                                 ","SE",0.09,0.25,0.16,0.16,0.23,0.24,0.19,0.17,0.18,0.12
"      Nonprescription vitamins                              ","MEAN",1.08,1.13,0.54,0.63,0.89,0.71,0.57,0.89,0.87,1.65
"      Nonprescription vitamins                              ","SE",0.08,0.65,0.26,0.28,0.34,0.15,0.13,0.19,0.23,0.18
"    Medical supplies                                        ","MEAN",0.8,0.52,0.32,0.35,0.46,0.61,0.65,0.8,0.77,1.14
"    Medical supplies                                        ","SE",0.05,0.23,0.12,0.15,0.12,0.09,0.13,0.16,0.1,0.09
"      Topicals and dressings                                ","MEAN",0.79,0.52,0.32,0.35,0.46,0.61,0.65,0.8,0.74,1.13
"      Topicals and dressings                                ","SE",0.05,0.23,0.12,0.15,0.12,0.09,0.13,0.16,0.09,0.09
"      Adult diapers                                         ","MEAN",0.01,0,0,0,0,0,0,0,0.03,0.01
"      Adult diapers                                         ","SE",0.01,0,0,0,0,0,0,0,0.03,0.01
"  Entertainment                                             ","MEAN",45.62,19.37,18.38,19.94,25.77,28.06,33.48,35.39,43.08,72.26
"  Entertainment                                             ","SE",1.31,2.69,2.9,2.24,1.97,2.21,2.65,1.69,2.13,3.31
"    Fees and admissions                                     ","MEAN",3.89,0.5,0.12,1.23,0.56,1.17,1.34,1.56,2.08,8.73
"    Fees and admissions                                     ","SE",0.55,0.19,0.08,0.83,0.19,0.34,0.41,0.32,0.49,1.49
"      Fees for participant sports                           ","MEAN",2.01,0.5,0.06,1.17,0.5,0.71,0.79,0.96,1.11,4.23
