"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","SAMP_UN","SAMP_UN_","RTELECT","RTELECT_","RTGAS","RTGAS_","RTWATER","RTWATER_","RTHEAT","RTHEAT_","RTTRASH","RTTRASH_","RTASPAY","RTASPAY_","RTCOMPX","RTCOMPX_","RTBSNSZ","RTBSNSZ_","JRTPAYQV","JRTP_YQV","QRT3MCMX","RTTELEPH","QRT3_CMX","RTTE_EPH","RTTVCABL","RTTV_ABL","RTINTRNT","RTIN_RNT","RTFUNSH","RTFUNSH_","GOVTCOST","GOVT_OST","INCLBDS","INCLBDS_","INCLDRYR","INCL_RYR","INCLFRIG","INCL_RIG","INCLPDS","INCLPDS_","INCLSTOV","INCL_TOV","INCLWSHR","INCL_SHR","PUBLHOUS","PUBL_OUS","OWNED","OWNED_","RTPARK","RTPARK_"
"20141",2649105,33,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649125,26,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649155,55,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649185,31,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649205,73,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649235,38,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",2925,"2","D","D","2","D","2","D","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","2","D","1","D"
"20141",2649275,13,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649315,59,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649325,36,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649355,20,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649375,26,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649395,31,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649405,28,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649445,34,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649465,20,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",3000,"2","D","D","2","D","2","D","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","2","D","2","D"
"20141",2649475,28,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649485,54,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649515,19,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649535,100,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649585,27,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649635,32,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649645,19,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649655,35,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649665,24,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649675,39,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649695,12,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","1","D",800,"D",.,"A",600,"D",1800,"2","D","D","2","D","2","D","2","D","2","D","2","D","2","D","1","D","2","D","1","D","2","D","2","D","2","D","1","D"
"20141",2649725,40,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649745,23,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649775,24,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649805,13,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",1575,"2","D","D","2","D","2","D","2","D","2","D","1","D","2","D","1","D","2","D","1","D","2","D","2","D","2","D","1","D"
"20141",2649815,26,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649885,25,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649895,34,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",4350,"2","D","D","2","D","2","D","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","2","D","2","D"
"20141",2649915,23,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",2400,"2","D","D","2","D","2","D","2","D","2","D","1","D","2","D","2","D","2","D","1","D","2","D","2","D","2","D","2","D"
"20141",2649945,7,0,"1","1","D","1","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",1200,"2","D","D","1","D","2","D","1","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","2","D","1","D"
"20141",2649955,14,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
