"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOB","PROP0NOB","OWNYB","OWNYB_","OBSNSZB","OBSNSZB_","PROPTYPE","PROP_YPE","ACQUIRMO","ACQU_RMO","ACQUIRYR","ACQU_RYR","OWN_PURX","OWN__URX","OWNDPMTX","OWND_MTX","CLOSECST","CLOS_CST","QADPTAX","QADPTAX_","TIMESHAR","TIME_HAR","SHARWKS","SHARWKS_","SHARED1","SHARED1_","SHARPER1","SHAR_ER1","SHARED2","SHARED2_","SHARPER2","SHAR_ER2","GIFTPROP","GIFT_ROP","BSNEXP2","BSNEXP2_"
"20142",2710905,27,0,"5","02","D","600","D",0.05,"D","3","D",,"B","2007","D",.,"A",.,"A",.,"A",3900,"D","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20142",2710905,28,0,"5","03","D","300","D",.,"A","3","D",,"B",,"C",.,"A",.,"A",.,"A",400,"F","1","D",.,"C","2","D",.,"A",,"A",.,"A",,"A",,"A"
"20142",2710935,13,0,"5","01","D","100","D",.,"A","3","D",,"B","2010","D",.,"A",.,"A",.,"A",70,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2710945,14,0,"5","01","D","100","D",.,"A","3","D",,"B","2005","D",.,"A",.,"A",.,"A",1000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20142",2711005,27,0,"5","01","D","100","D",.,"A","1","D",,"B","2004","D",.,"A",.,"A",.,"A",2000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2711015,34,0,"5","01","D","100","D",.,"A","3","D",,"B","2010","D",.,"A",.,"A",.,"A",6200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2711035,18,0,"5","01","D","100","D",.,"A","3","D",,"B","1997","D",.,"A",.,"A",.,"A",3800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2711045,19,0,"5","01","D","100","D",.,"A","1","D",,"B","1994","D",.,"A",.,"A",.,"A",630,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2711065,57,0,"5","01","D","300","D",.,"A","3","D",,"B","2009","D",.,"A",.,"A",.,"A",0,"D","1","D",1,"D","2","D",.,"A",,"A",.,"A",,"A",,"A"
"20142",2711105,29,0,"5","01","D","100","D",.,"A","3","D",,"B","1965","D",.,"A",.,"A",.,"A",3000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2711165,13,0,"5","01","D","100","D",.,"A","3","D",,"B",,"C",.,"A",.,"A",.,"A",6000,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2711165,14,0,"5","02","D","400","D",.,"A","3","D",,"B",,"C",.,"A",.,"A",.,"A",30,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20142",2711175,40,0,"5","01","D","100","D",.,"A","3","D",,"B","2004","D",.,"A",.,"A",.,"A",2600,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20142",2711185,24,0,"5","01","D","100","D",.,"A","3","D",,"B","2007","D",.,"A",.,"A",.,"A",6200,"D",,"A",.,"A",,"A",.,"A","1","D",1,"D",,"A","2","D"
"20142",2711225,29,0,"5","01","D","100","D",.,"A","3","D",,"B","2003","D",.,"A",.,"A",.,"A",2500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2711265,26,0,"5","01","D","100","D",.,"A","3","D","10","D","2012","D",.,"A",.,"A",.,"A",6500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2711275,6,0,"5","01","D","100","D",.,"A","3","D",,"B","2004","D",.,"A",.,"A",.,"A",700,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2711305,14,0,"5","01","D","100","D",.,"A","3","D",,"B","1994","D",.,"A",.,"A",.,"A",1200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2711325,8,0,"5","01","D","100","D",.,"A","3","D",,"B","1990","D",.,"A",.,"A",.,"A",1300,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2711355,27,0,"5","01","D","100","D",.,"A","3","D",,"B",,"C",.,"A",.,"A",.,"A",1600,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2711415,51,0,"5","01","D","100","D",.,"A","3","D","01","D","2014","D",468000,"D",30000,"D",.,"C",4000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A","2","D","2","D"
"20142",2711515,19,0,"5","01","D","100","D",.,"A","3","D",,"B","1978","D",.,"A",.,"A",.,"A",1300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2711525,38,0,"5","01","D","100","D",.,"A","3","D","06","D","2012","D",.,"A",.,"A",.,"A",1200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2711565,35,0,"5","01","D","100","D",.,"A","3","D",,"B","1982","D",.,"A",.,"A",.,"A",8000,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2711595,19,0,"5","01","D","100","D",.,"A","3","D",,"B","1985","D",.,"A",.,"A",.,"A",1300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2711625,9,0,"5","01","D","100","D",.,"A","3","D",,"B","1992","D",.,"A",.,"A",.,"A",1600,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2711685,12,0,"5","01","D","100","D",.,"A","3","D",,"B",,"C",.,"A",.,"A",.,"A",2000,"D",,"A",.,"A",,"A",.,"A","1","D",1,"D",,"A","1","D"
"20142",2711705,15,0,"5","01","D","100","D",.,"A","3","D",,"B","1990","D",.,"A",.,"A",.,"A",2200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2711715,44,0,"5","01","D","100","D",.,"A","3","D",,"B","2007","D",.,"A",.,"A",.,"A",8700,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20142",2711715,45,0,"5","02","D","300","D",.,"A","3","D",,"B","1987","D",.,"A",.,"A",.,"A",1900,"D","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20142",2711715,46,0,"5","03","D","400","D",.,"A","3","D",,"B","2003","D",.,"A",.,"A",.,"A",200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20142",2711715,47,0,"5","04","D","300","D",.,"A","3","D",,"B","1995","D",.,"A",.,"A",.,"A",3600,"D","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20142",2711775,31,0,"5","01","D","100","D",.,"A","3","D",,"B","2010","D",.,"A",.,"A",.,"A",1100,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
