"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
2781193,1,"2013","2012",0,0.153,0.133,"2",0,0,"12","D",0.014,0.014,2,"D",2,"D",10000,"D",0,"D",10,"D",0,"D",34270,"D",0,"D",0,"D",2000,"D",117,"D",0,"D",0,"D",0,"D",0,-110,0,0,-104.1,-115.52,1330,1530,10010,10010,10010.01,10010.01,0,0,0,0,0,0,0,0,10010,10010,0,0,0,0,0,0,4000,4400,2727.29,2730.84,0,0,0,0,0,0,0
2781203,1,"2013","2012",0,0.153,0.133,"1",0.1,0.1,"14","D",0.05,0.05,0,"D",0,"D",17823,"D",0,"D",0,"D",0,"D",0,"D",0,"D",3000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",795,787,807.3,782.3,788.65,786.15,2370.46,2726.92,17823,17823,17823.01,17823.01,0,0,0,0,0,0,0,0,17823,17823,0,0,807.3,782.3,807.3,782.3,0,0,0,0,0,0,0,0,0,0,0
2781243,1,"2013","2012",0,0,0,"1",0,-0.0765,"10","D",0,0,1,"D",0,"D",0,"D",0,"D",0,"D",0,"D",15528,"D",0,"D",0,"D",5000,"D",60,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2781253,1,"2013","2012",0,0.153,0.133,"1",0.15,0.15,"19","D",0.034,0.034,0,"D",0,"D",19000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",3876,"D",0,"D",0,"D",0,"D",0,"D",0,"D",928,393,952.5,903.75,391.9,393.85,2527,2907,19000,19000,19000.01,19000.01,0,0,0,0,0,0,0,0,19000,19000,0,0,952.5,903.75,952.5,903.75,0,0,0,0,0,0,0,0,0,0,0
2781263,1,"2013","2012",0,0.153,0.133,"2",0.28,0.28,"10","D",0,0,2,"D",2,"D",60809,"D",0,"D",0,"D",82022,"D",33831,"D",0,"D",0,"D",1500,"D",0,"D",0,"D",0,"D",1440,"D",29479,0,29719.46,29237.96,0,0,8087.6,9303.78,171587.35,171587.35,0,0,0,0,0,0,0,0,0,0,171587.35,171587.35,0,0,29719.46,29237.96,29719.46,29237.96,0,0,0,0,0,0,0,0,0,0,0
2781293,1,"2013","2012",0,0.153,0.133,"1",0.15,0.15,"0","T",0,0,0,"D",0,"D",20000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",6000,"D",0,"D",23,"D",0,"D",0,"D",0,"D",1078,0,1102.5,1053.75,0,0,2660,3060,20000,20000,0,0,0,0,0,0,0,0,0,0,20000,20000,0,0,1102.5,1053.75,1102.5,1053.75,0,0,0,0,0,0,0,0,0,0,0
2781333,1,"2013","2012",0,0.153,0.133,"1",0.2423,0.2423,"39","D",0.0307,0.0307,0,"D",0,"D",50000,"D",0,"D",-1138,"D",0,"D",0,"D",0,"D",10380,"D",0,"D",500,"D",0,"D",0,"D",4200,"D",5674,1535,5736.75,5610.5,1535,1535,6650,7650,48862,48862,50000.01,50000.01,0,0,0,0,0,0,0,0,44662,44662,0,0,5736.75,5610.5,5736.75,5610.5,0,0,0,0,0,0,0,0,0,0,0
2781333,2,"2013","2012",0,0.153,0.133,"1",0.25,0.25,"39","D",0.0307,0.0307,0,"D",0,"D",72000,"D",0,"D",-2600,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",10861,2210,10942.5,10778.75,2210.4,2210.4,9576,11016,69400,69400,72000.01,72000.01,0,0,0,0,0,0,0,0,69400,69400,0,0,10942.5,10778.75,10942.5,10778.75,0,0,0,0,0,0,0,0,0,0,0
2781344,1,"2013","2012",3,0.153,0.133,"2",0.15,0.15,"05","D",0,0,0,"D",0,"D",40000,"D",15000,"D",0,"D",0,"D",0,"D",0,"D",15600,"D",0,"D",0,"D",0,"D",2,"D",0,"D",674,0,745,602.5,0,0,7315,8415,55000,55000,55000.01,55000.01,2000,2000,0,0,0,0,0,0,55000,55000,0,0,2745,2602.5,2745,2602.5,7682,7812,0,0,0,0,0,0,0,0,0
2781353,1,"2013","2012",0,0.153,0.133,"1",0.15,0.15,"44","D",0,0,0,"D",0,"D",20000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",8400,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1078,0,1102.5,1053.75,0,0,2660,3060,20000,20000,0,0,0,0,0,0,0,0,0,0,20000,20000,0,0,1102.5,1053.75,1102.5,1053.75,0,0,0,0,0,0,0,0,0,0,0
