"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
2742854,1,"2013","2012",0,0.153,0.133,"2",0.15,0.15,"05","D",0,0,1,"D",1,"D",0,"D",24509,"D",0,"D",310,"D",15659,"D",0,"D",0,"D",4600,"D",180,"D",0,"D",0,"D",4208,"D",426,0,449.33,394.33,0,0,3259.7,3749.88,25143.25,25143.25,24819.01,24819.01,0,0,0,0,0,0,0,0,25143.25,25143.25,0,0,449.33,394.33,449.33,394.33,7682,7812,8988,8988,0,0,0,0,0,0,0
2742894,1,"2013","2012",2,0,0,"3",-0.4,-0.4,"03","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1200,"D",0,"D",0,"D",0,"D",0,"D",0,-75,0,0,-75,-75,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9666,9890,1200.04,1200.04,0,0,0,0,0,0,0
2742914,1,"2013","2012",0,0.153,0.133,"2",0.1,0.1,"0","T",0,0,0,"D",0,"D",2365,"D",18000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",100,"D",0,"D",0,"D",0,"D",0,"D",66,0,86.5,36.5,0,0,2708.55,3115.84,20365,20365,0,0,0,0,0,0,0,0,0,0,20365,20365,0,0,86.5,36.5,86.5,36.5,0,0,0,0,0,0,0,0,0,0,0
2742914,2,"2013","2012",0,0.153,0.133,"2",0.15,0.15,"0","T",0,0,0,"D",0,"D",23000,"D",15000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1864,0,1905,1807.5,0,0,5054,5814,38000,38000,0,0,0,0,0,0,0,0,0,0,38000,38000,0,0,1905,1807.5,1905,1807.5,0,0,0,0,0,0,0,0,0,0,0
2743004,1,"2013","2012",0,0.153,0.133,"2",0.1425,0.1425,"14","D",0.05,0.05,0,"D",0,"D",110000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",14100,"D",105,"D",0,"D",0,"D",24812,"D",7927,4588,7948.95,7897.2,4590,4585,14630,16830,110000,110000,110000.01,110000.01,0,0,0,0,0,0,0,0,85188,85188,0,0,7948.95,7897.2,7948.95,7897.2,0,0,0,0,705,705,0,0,0,0,0
2743034,1,"2013","2012",0,0.153,0.133,"1",0.25,0.25,"26","D",0.06,0.06,0,"D",0,"D",57681,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1500,"D",0,"D",0,"D",0,"D",0,"D",7945,2449,8012.75,7849,2452.86,2443.86,7671.57,8825.19,57681,57681,57681.01,57681.01,0,0,0,0,0,0,0,0,57681,57681,0,0,8012.75,7849,8012.75,7849,5950,6100,0,0,0,0,0,0,0,0,0
2743034,2,"2013","2012",0,0.153,0.133,"1",0.15,0.15,"26","D",0.051,0.051,0,"D",0,"D",42000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",4382,1545,4402.5,4353.75,1547.85,1541.78,5586,6426,42000,42000,42000.01,42000.01,0,0,0,0,0,0,0,0,42000,42000,0,0,4402.5,4353.75,4402.5,4353.75,5950,6100,0,0,0,0,0,0,0,0,0
2743064,1,"2013","2012",3,0.153,0.133,"2",0.15,0.15,"31","D",0.035,0.035,0,"D",0,"D",44494,"D",36554,"D",7118,"D",0,"D",0,"D",0,"D",0,"D",3700,"D",982,"D",0,"D",1,"D",5152,"D",6661,1574,6719.9,6577.4,1573.81,1573.81,10779.38,12400.34,88166,88166,88166.01,88166.01,1000,1000,0,0,0,0,0,0,88166,88166,0,0,7719.9,7577.4,7719.9,7577.4,0,0,0,0,0,0,0,0,0,0,0
2743134,1,"2013","2012",0,0,0,"1",0,0,"33","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",0,"D",10859,"D",0,"D",4200,"D",0,"D",0,"D",0,"D",0,"D",240,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,7700,0,0,0,0,0,0,0,0,0
2743174,1,"2013","2012",0,0.153,0.133,"1",0.1425,0.1425,"14","D",0.05,0.05,0,"D",0,"D",48000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",4900,"D",760,"D",0,"D",0,"D",6428,"D",4063,2051,4073.92,4048.05,2052.5,2050,6384,7344,48000,48000,48000.01,48000.01,0,0,0,0,0,0,0,0,41572,41572,0,0,4073.93,4048.05,4073.92,4048.05,0,0,0,0,245,245,0,0,0,0,0
