"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
2647635,1,"2013","2012",0,0.153,0.133,"1",0.15,0.15,"14","D",0.05,0.05,0,"D",0,"D",42748,"D",0,"D",0,"D",0,"D",0,"D",0,"D",12000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",4515,2035,4514.7,4465.95,2034.9,2032.4,5685.48,6540.44,42748,42748,42748.01,42748.01,0,0,0,0,0,0,0,0,42748,42748,0,0,4514.7,4465.95,4514.7,4465.95,0,0,0,0,0,0,0,0,0,0,0
2647645,1,"2013","2012",0,0.153,0.133,"1",0.1486,0.1486,"48","D",0,0,0,"D",0,"D",42427,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",3700,"D",0,"D",0,"D",0,"D",6192,"D",3778,0,3777.76,3751.04,0,0,5642.79,6491.33,42427,42427,0,0,0,0,0,0,0,0,0,0,36235,36235,0,0,3777.76,3751.04,3777.76,3751.04,0,0,0,0,0,0,0,0,0,0,0
2647645,2,"2013","2012",0,0.153,0.133,"1",0.1765,0.1765,"48","D",0,0,0,"D",0,"D",11752,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",31,0,31.35,-22.48,0,0,1563.02,1798.06,11752,11752,0,0,0,0,0,0,0,0,168.85,197.68,11752,11752,0,0,200.2,175.2,200.2,175.2,0,0,0,0,0,0,0,0,0,0,0
2647665,1,"2013","2012",2,0,0,"3",-0.4,-0.4,"18","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",453,"D",0,"D",0,"D",0,"D",200,"D",16,"D",0,"D",0,"D",4020,"D",0,0,0,0,0,0,0,0,453,453,0.01,0.01,0,0,0,0,0,0,0,0,453,453,0,0,0,0,0,0,2290,2360,4236,4236,0,0,0,0,0,0,0
2647675,1,"2013","2012",0,0,0,"1",0,0,"31","D",0,0,1,"D",1,"D",0,"D",0,"D",8794,"D",0,"D",14673,"D",0,"D",0,"D",18001,"D",0,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,8794,8794,0,0,0,0,0,0,0,0,0,0,8794,8794,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0
2647685,1,"2013","2012",0,0,0,"2",0.15,0.25,"10","D",0,0,2,"D",2,"D",0,"D",0,"D",48718,"D",22952,"D",27096,"D",0,"D",0,"D",550,"D",604,"D",0,"D",0,"D",0,"D",10285,0,10285.4,9952.74,0,0,0,0,94701.6,94701.6,0,0,0,0,0,0,0,0,0,0,94701.6,94701.6,0,0,10285.4,9952.74,10285.4,9952.74,0,0,0,0,0,0,0,0,0,0,0
2647705,1,"2013","2012",0,0,0,"1",-0.0765,-0.0765,"0","T",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",10355,"D",0,"D",0,"D",1300,"D",0,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2647745,1,"2013","2012",1,0.0547,0.0506,"2",0.2618,0.2618,"49","D",0.065,0.065,0,"D",0,"D",137500,"D",36000,"D",15000,"D",0,"D",0,"D",0,"D",0,"D",2700,"D",1314,"D",0,"D",0,"D",15268,"D",28962,10738,28961.54,28564.04,10737.5,10737.5,20225.9,23594.3,188500,188500,188500.01,188500.01,0,0,0,0,0,0,0,0,173232,173232,0,0,28961.54,28564.04,28961.54,28564.04,0,0,0,0,0,0,0,0,0,0,0
2647755,1,"2013","2012",0,0.153,0.133,"2",0.0765,0.0765,"11","D",0.05,0.05,0,"D",0,"D",17992,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1400,"D",0,"D",0,"D",0,"D",0,"D",-93,310,-93.11,-128.83,309.6,209.6,2392.94,2752.78,17992,17992,17992.01,17992.01,0,0,0,0,0,0,93.11,128.83,17992,17992,0,0,0,0,0,0,3000,3000,0,0,0,0,0,0,0,0,0
2647755,2,"2013","2012",0,0.153,0.133,"1",0.1,0.1,"11","D",0.06,0.06,0,"D",0,"D",16026,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",628,467,627.6,602.6,466.56,466.56,2131.46,2451.98,16026,16026,16026.01,16026.01,0,0,0,0,0,0,0,0,16026,16026,0,0,627.6,602.6,627.6,602.6,2300,2300,0,0,0,0,0,0,0,0,0
