"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
2747575,2,"2013","2012",0,0.153,0.133,"1",-0.0765,-0.0765,"26","D",0,0,0,"D",0,"D",1200,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",-92,0,-91.8,-91.8,0,0,159.6,183.6,1200,1200,1200.01,1200.01,0,0,0,0,0,0,91.8,91.8,1200,1200,0,0,0,0,0,0,5950,6100,0,0,0,0,0,0,0,0,0
2747605,1,"2013","2012",0,0.153,0.133,"1",0.1,0.1,"44","D",0,0,0,"D",0,"D",16000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",7416,"D",0,"D",0,"D",0,"D",0,"D",0,"D",606,0,625,600,0,0,2128,2448,16000,16000,0,0,0,0,0,0,0,0,0,0,16000,16000,0,0,625,600,625,600,0,0,0,0,0,0,0,0,0,0,0
2747655,1,"2013","2012",0,0.153,0.133,"2",0.25,0.25,"03","D",0.0424,0.0424,0,"D",0,"D",98638,"D",16999,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1700,"D",25,"D",0,"D",0,"D",4464,"D",15849,3130,16094.25,15766.75,3137.09,3127.59,15379.72,17692.46,115637,115637,115637.01,115637.01,0,0,0,0,0,0,0,0,115637,115637,0,0,16094.25,15766.75,16094.25,15766.75,9666,9890,9326.09,9316.59,0,0,0,0,0,0,0
2747665,1,"2013","2012",2,0.153,0.133,"2",0,0,"0","T",0,0,0,"D",0,"D",0,"D",22000,"D",0,"D",0,"D",0,"D",0,"D",3600,"D",0,"D",0,"D",0,"D",2,"D",0,"D",-7338,0,-7236,-7372,0,0,2926,3366,22000,22000,0,0,0,0,2000,2000,0,0,5236,5372,22000,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2747715,1,"2013","2012",5,0.153,0.133,"3",0.2106,0.2106,"38","D",0.1026,0.1026,0,"D",0,"D",25000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2800,"D",0,"D",0,"D",2,"D",240,"D",-6410,110,-6227.26,-6470.82,148.93,96.4,3325,3825,25000,25000,25000.01,25000.01,0,0,2000,2000,0,0,4227.26,4470.82,25000,25000,0,0,0,0,0,0,3260.4,3348.31,3040,3040,0,0,0,0,253.64,268.25,0
2747715,2,"2013","2012",1,0.153,0.133,"3",0.2598,0.2598,"38","D",0.0906,0.0906,0,"D",0,"D",20000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",-2482,472,-2335.58,-2530.29,488.93,466.08,2660,3060,20000,20000,20000.01,20000.01,0,0,0,0,0,0,2705.58,2855.29,20000,20000,0,0,370,325,370,325,3260.4,3348.31,0,0,0,0,0,0,162.33,171.32,0
2747715,4,"2013","2012",5,0,0,"3",-0.45,-0.45,"38","D",-0.027,-0.027,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2,"D",0,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3260.4,3348.31,0,0,0,0,0,0,0,0,0
2747735,1,"2013","2012",2,0.153,0.133,"3",-0.4,-0.4,"05","D",0,0,0,"D",0,"D",12000,"D",0,"D",-5078,"D",0,"D",0,"D",0,"D",6000,"D",0,"D",0,"D",0,"D",1,"D",0,"D",-5800,0,-5800,-5800,0,0,1596,1836,6922,6922,6922.01,6922.01,0,0,1000,1000,0,0,4800,4800,6922,6922,0,0,0,0,0,0,7682,7812,0,0,0,0,0,0,0,0,0
2747735,2,"2013","2012",2,0,0,"3",-0.4,-0.4,"05","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1,"D",0,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7682,7812,0,0,0,0,0,0,0,0,0
2747775,1,"2013","2012",1,0.153,0.133,"2",0.15,0.15,"44","D",0,0,0,"D",0,"D",50000,"D",30000,"D",0,"D",0,"D",0,"D",0,"D",6720,"D",0,"D",500,"D",0,"D",1,"D",0,"D",6551,0,6635,6522.5,0,0,10640,12240,80000,80000,0,0,1000,1000,0,0,0,0,0,0,80000,80000,0,0,7635,7522.5,7635,7522.5,0,0,0,0,0,0,0,0,0,0,0
2747775,2,"2013","2012",0,0.153,0.133,"1",0.15,0.15,"44","D",0,0,0,"D",0,"D",36000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",3466,0,3502.5,3453.75,0,0,4788,5508,36000,36000,0,0,0,0,0,0,0,0,0,0,36000,36000,0,0,3502.5,3453.75,3502.5,3453.75,0,0,0,0,0,0,0,0,0,0,0
2747785,1,"2013","2012",0,0.153,0.133,"1",0.15,0.15,"48","D",0,0,0,"D",0,"D",36850,"D",0,"D",0,"D",0,"D",0,"D",0,"D",15000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",3593,0,3630,3581.25,0,0,4901.05,5638.05,36850,36850,0,0,0,0,0,0,0,0,0,0,36850,36850,0,0,3630,3581.25,3630,3581.25,0,0,0,0,0,0,0,0,0,0,0
2747805,1,"2013","2012",0,0.153,0.133,"1",0.15,0.15,"05","D",0.06,0.06,1,"D",1,"D",40000,"D",0,"D",-5907,"D",0,"D",7680,"D",0,"D",0,"D",1900,"D",266,"D",0,"D",0,"D",0,"D",3936,603,3978.15,3921.9,621.11,596.45,5320,6120,40621,40621,34093.01,34093.01,0,0,0,0,0,0,0,0,40621,40621,0,0,3978.15,3921.9,3978.15,3921.9,3841,3906,2166,2166,0,0,0,0,0,0,0
2747825,1,"2013","2012",0,0.153,0.133,"1",0.2275,0.2275,"38","D",0.09,0.09,0,"D",0,"D",60000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1600,"D",60,"D",0,"D",0,"D",6136,"D",7105,3724,7196.41,7074.79,3738.36,3719.86,7980,9180,60000,60000,60000.01,60000.01,0,0,0,0,0,0,0,0,53864,53864,0,0,7196.41,7074.79,7196.41,7074.79,2025.4,2080.01,7796,7796,0,0,0,0,0,0,0
2747825,2,"2013","2012",0,0.153,0.133,"1",0.15,0.15,"38","D",0.0765,0.0765,0,"D",0,"D",27000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2116,1639,2152.5,2103.75,1642.99,1637.46,3591,4131,27000,27000,27000.01,27000.01,0,0,0,0,0,0,0,0,27000,27000,0,0,2152.5,2103.75,2152.5,2103.75,2025.4,2080.01,0,0,0,0,0,0,0,0,0
2747855,1,"2013","2012",0,0.153,0.133,"2",0.25,0.25,"0","T",0,0,0,"D",0,"D",15000,"D",0,"D",5857,"D",82022,"D",0,"D",0,"D",0,"D",1500,"D",326,"D",0,"D",0,"D",0,"D",12659,0,12904.75,12577.25,0,0,1995,2295,102879,102879,0,0,0,0,0,0,0,0,0,0,102879,102879,0,0,12904.75,12577.25,12904.75,12577.25,0,0,0,0,0,0,0,0,0,0,0
2747865,1,"2013","2012",1,0.153,0.133,"2",0.15,0.15,"05","D",0.06,0.06,0,"D",0,"D",0,"D",74768,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2000,"D",0,"D",0,"D",0,"D",4356,"D",6766,1486,6850.2,6737.7,1524.14,1473.82,9944.14,11439.5,74768,74768,74768.01,74768.01,0,0,0,0,0,0,0,0,74768,74768,0,0,6850.2,6737.7,6850.2,6737.7,7682,7812,6356,6356,0,0,0,0,0,0,0
2747865,2,"2013","2012",0,0.153,0.133,"1",0.15,0.15,"05","D",0.06,0.06,0,"D",0,"D",34072,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",3177,707,3213.3,3164.55,723.85,701.19,4531.58,5213.02,34072,34072,34072.01,34072.01,0,0,0,0,0,0,0,0,34072,34072,0,0,3213.3,3164.55,3213.3,3164.55,3841,3906,0,0,0,0,0,0,0,0,0
2747875,1,"2013","2012",0,0,0,"1",0,0,"10","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",6500,"D",25655,"D",0,"D",0,"D",800,"D",0,"D",0,"D",0,"D",600,"D",0,0,0,0,0,0,0,0,6500,6500,0,0,0,0,0,0,0,0,0,0,6500,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2747905,1,"2013","2012",0,0.153,0.133,"2",0.15,0.15,"31","D",0.014,0.014,0,"D",0,"D",5,"D",0,"D",110,"D",25000,"D",35196,"D",0,"D",0,"D",9500,"D",82,"D",0,"D",0,"D",200,"D",1060,191,1097.15,1047.15,190.61,190.61,0.67,0.76,30471.5,30471.5,25115.01,25115.01,0,0,0,0,0,0,0,0,30471.5,30471.5,0,0,1097.15,1047.15,1097.15,1047.15,0,0,0,0,0,0,0,0,0,0,0
2747915,1,"2013","2012",0,0,0,"1",0.15,0.15,"41","D",0.07,0.07,0,"D",0,"D",0,"D",0,"D",44235,"D",0,"D",0,"D",0,"D",5916,"D",0,"D",0,"D",0,"D",0,"D",0,"D",4701,1918,4737.75,4689,1937.81,1911.95,0,0,44235,44235,34485.01,34235.01,0,0,0,0,0,0,0,0,44235,44235,0,0,4737.75,4689,4737.75,4689,0,0,0,0,0,0,0,0,0,0,0
2747945,1,"2013","2012",0,0,0,"1",0,0,"33","D",0.017,0.017,1,"D",1,"D",0,"D",0,"D",0,"D",0,"D",15384,"D",0,"D",0,"D",3000,"D",0,"D",0,"D",0,"D",0,"D",0,-130,0,0,-130.47,-130.47,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,7700,0,0,130.47,130.47,0,0,0,0,0
2747975,1,"2013","2012",2,0,0,"3",-0.4,-0.4,"0","T",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",600,"D",0,"D",0,"D",0,"D",6904,"D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2747995,1,"2013","2012",0,0,0,"1",0,0,"33","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2844,"D",0,"D",0,"D",0,"D",0,"D",313,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,7700,0,0,0,0,0,0,0,0,0
