"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
2825682,"980030",1,,"1"
2825682,"980070",21867,,"1"
2825682,"980220",100,,"1"
2825682,"980260",100,,"1"
2825682,"980281",100,,"1"
2825682,"980285",100,,"1"
2825682,"980290",100,,"1"
2825691,"900000",24099,,"1"
2825691,"980000",24099,,"1"
2825691,"980010",3,,"1"
2825691,"980020",42,,"1"
2825691,"980030",1,,"1"
2825691,"980040",1,,"1"
2825691,"980050",2,,"1"
2825691,"980070",24099,,"1"
2825691,"980220",100,,"1"
2825691,"980260",100,,"1"
2825691,"980281",100,,"1"
2825691,"980286",100,,"1"
2825691,"980310",100,,"1"
2825691,"980330",100,,"1"
2825692,"900000",21962,,"1"
2825692,"980000",21962,,"1"
2825692,"980010",3,,"1"
2825692,"980020",42,,"1"
2825692,"980030",1,,"1"
2825692,"980040",1,,"1"
2825692,"980050",2,,"1"
2825692,"980070",21962,,"1"
2825692,"980220",100,,"1"
2825692,"980260",100,,"1"
2825692,"980281",100,,"1"
2825692,"980286",100,,"1"
2825692,"980300",100,,"1"
2825692,"980330",100,,"1"
2825702,"900000",24612,,"1"
2825702,"900120",1200,,"1"
2825702,"900150",1200,,"1"
2825702,"980000",27012,,"1"
2825702,"980010",5,,"1"
2825702,"980020",30,,"1"
2825702,"980030",3,,"1"
2825702,"980050",1,,"1"
2825702,"980070",27012,,"1"
2825702,"980210",100,,"1"
2825702,"980260",100,,"1"
2825702,"980281",100,,"1"
2825702,"980285",100,,"1"
2825702,"980300",100,,"1"
2825711,"900000",57777,,"1"
2825711,"980000",57777,,"1"
2825711,"980010",6,,"1"
2825711,"980020",41,,"1"
2825711,"980030",3,,"1"
2825711,"980050",2,,"1"
2825711,"980070",57777,,"1"
2825711,"980220",100,,"1"
2825711,"980260",100,,"1"
2825711,"980281",100,,"1"
2825711,"980285",100,,"1"
2825711,"980300",100,,"1"
2825712,"900000",55867,,"1"
2825712,"980000",55867,,"1"
2825712,"980010",6,,"1"
2825712,"980020",41,,"1"
2825712,"980030",3,,"1"
2825712,"980050",2,,"1"
2825712,"980070",55867,,"1"
2825712,"980090",100,,"1"
2825712,"980220",100,,"1"
2825712,"980250",100,,"1"
2825712,"980281",100,,"1"
2825712,"980285",100,,"1"
2825712,"980300",100,,"1"
2825721,"900000",35000,,"1"
2825721,"950001",-6900,,"1"
2825721,"950011",-714,,"1"
2825721,"980000",35000,,"1"
2825721,"980010",3,,"1"
2825721,"980020",25,,"1"
2825721,"980030",1,,"1"
2825721,"980040",2,,"1"
2825721,"980050",2,,"1"
2825721,"980070",42614,,"1"
2825721,"980220",100,,"1"
2825721,"980260",100,,"1"
2825721,"980270",100,,"1"
2825721,"980286",100,,"1"
2825721,"980310",100,,"1"
2825721,"980330",100,,"1"
2825722,"900000",35000,,"1"
2825722,"950001",-6900,,"1"
2825722,"950011",-714,,"1"
2825722,"980000",35000,,"1"
2825722,"980010",3,,"1"
2825722,"980020",25,,"1"
2825722,"980030",1,,"1"
2825722,"980040",2,,"1"
