"UCC","AMOUNT","IMPNUM","NEWID","PUB_FLAG","AMOUNT_"
"900000",38000,"5",2825452,"1",
"900090",741,"1",2825452,"1",
"900090",741,"2",2825452,"1",
"900090",741,"3",2825452,"1",
"900090",741,"4",2825452,"1",
"900090",741,"5",2825452,"1",
"900150",1500,"1",2825452,"1",
"900150",1500,"2",2825452,"1",
"900150",1500,"3",2825452,"1",
"900150",1500,"4",2825452,"1",
"900150",1500,"5",2825452,"1",
"900180",15,"1",2825452,"1",
"900180",15,"2",2825452,"1",
"900180",15,"3",2825452,"1",
"900180",15,"4",2825452,"1",
"900180",15,"5",2825452,"1",
"950002",4710,"1",2825452,"1",
"950002",4710,"2",2825452,"1",
"950002",4710,"3",2825452,"1",
"950002",4710,"4",2825452,"1",
"950002",4710,"5",2825452,"1",
"950012",1159,"1",2825452,"1",
"950012",1159,"2",2825452,"1",
"950012",1159,"3",2825452,"1",
"950012",1159,"4",2825452,"1",
"950012",1159,"5",2825452,"1",
"980000",40256,"1",2825452,"1",
"980000",40256,"2",2825452,"1",
"980000",40256,"3",2825452,"1",
"980000",40256,"4",2825452,"1",
"980000",40256,"5",2825452,"1",
"980070",36387,"1",2825452,"1",
"980070",36387,"2",2825452,"1",
"980070",36387,"3",2825452,"1",
"980070",36387,"4",2825452,"1",
"980070",36387,"5",2825452,"1",
"900000",97000,"1",2825461,"1",
"900000",97000,"2",2825461,"1",
"900000",97000,"3",2825461,"1",
"900000",97000,"4",2825461,"1",
"900000",97000,"5",2825461,"1",
"980000",97000,"1",2825461,"1",
"980000",97000,"2",2825461,"1",
"980000",97000,"3",2825461,"1",
"980000",97000,"4",2825461,"1",
"980000",97000,"5",2825461,"1",
"980070",103000,"1",2825461,"1",
"980070",103000,"2",2825461,"1",
"980070",103000,"3",2825461,"1",
"980070",103000,"4",2825461,"1",
"980070",103000,"5",2825461,"1",
"900000",97000,"1",2825462,"1",
"900000",97000,"2",2825462,"1",
"900000",97000,"3",2825462,"1",
"900000",97000,"4",2825462,"1",
"900000",97000,"5",2825462,"1",
"980000",97000,"1",2825462,"1",
"980000",97000,"2",2825462,"1",
"980000",97000,"3",2825462,"1",
"980000",97000,"4",2825462,"1",
"980000",97000,"5",2825462,"1",
"980070",103000,"1",2825462,"1",
"980070",103000,"2",2825462,"1",
"980070",103000,"3",2825462,"1",
"980070",103000,"4",2825462,"1",
"980070",103000,"5",2825462,"1",
"900000",2048,"1",2825471,"1",
