"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","RENTCODE","RENT_ODE","BSNSPCTZ","BSNS_CTZ","QADRENTX","QADR_NTX","ANYVACAT","ANYV_CAT"
"20141",2763632,54,0,"1","105","D",.,"A",100,"D","1","D"
"20141",2764002,45,0,"1","105","D",.,"A",100,"D","2","D"
"20141",2764212,40,0,"1","105","D",.,"A",180,"D","1","D"
"20141",2764212,41,0,"1","105","D",1,"D",0,"D","1","D"
"20141",2766852,22,0,"1","105","D",.,"A",150,"D","1","D"
"20141",2767482,20,0,"1","105","D",.,"A",112,"D","2","D"
"20141",2767632,19,0,"1","105","D",.,"A",85,"D","1","D"
"20141",2768332,35,0,"1","105","D",.,"A",400,"D","1","D"
"20141",2768712,59,0,"1","105","D",.,"A",70,"D","1","D"
"20141",2769222,35,0,"1","105","D",.,"A",1000,"D","1","D"
"20141",2769762,5,0,"1","105","D",.,"A",650,"D","1","D"
"20141",2769862,20,0,"1","105","D",.,"A",150,"D","1","D"
"20141",2770185,12,0,"1","105","D",.,"A",52,"D","2","D"
"20141",2770462,59,0,"1","105","D",.,"A",289,"D","1","D"
"20141",2771522,24,0,"1","105","D",.,"A",150,"D","2","D"
"20141",2772192,42,0,"1","105","D",.,"A",230,"D","1","D"
"20141",2772192,43,0,"1","105","D",.,"A",85,"D","1","D"
"20141",2773072,26,0,"1","105","D",.,"A",106,"D","1","D"
"20141",2773072,27,0,"1","105","D",.,"A",22,"D","1","D"
"20141",2773072,28,0,"1","105","D",.,"A",38,"D","1","D"
"20141",2773172,39,0,"1","105","D",.,"A",280,"D","1","D"
"20141",2773882,45,0,"1","105","D",.,"A",1000,"D","1","D"
"20141",2774352,33,0,"1","105","D",.,"A",88,"D","2","D"
"20141",2775462,28,0,"1","105","D",.,"A",100,"D","1","D"
"20141",2777012,49,0,"1","105","D",.,"A",167,"D","1","D"
"20141",2777092,24,0,"1","105","D",.,"A",22,"D","2","D"
"20141",2777582,22,0,"1","105","D",.,"A",115,"D","1","D"
"20141",2777702,25,0,"1","105","D",.,"A",600,"D","1","D"
"20141",2777862,49,0,"1","105","D",.,"A",115,"D","1","D"
"20141",2778112,26,0,"1","105","D",.,"A",158,"D","1","D"
"20141",2778182,21,0,"1","105","D",.,"A",80,"D","2","D"
"20141",2779012,18,0,"1","105","D",.,"A",150,"D","2","D"
"20141",2779362,16,0,"1","105","D",.,"A",500,"D","2","D"
"20141",2780272,41,0,"1","160","D",.,"A",750,"D","1","D"
"20141",2780892,66,0,"1","105","D",.,"A",120,"D","1","D"
"20141",2786533,8,0,"1","105","D",.,"A",35,"D","2","D"
"20141",2792652,35,0,"1","105","D",.,"A",40,"D","2","D"
"20141",2795995,32,0,"1","105","D",.,"A",167,"D","1","D"
"20141",2806174,4,0,"1","105","D",.,"A",200,"D","1","D"
"20141",2809235,16,0,"1","105","D",.,"A",282,"D","2","D"
"20141",2811745,25,0,"1","105","D",.,"A",36,"D","2","D"
"20142",2680255,30,0,"1","105","D",.,"A",300,"D","2","D"
"20142",2684025,46,0,"1","105","D",.,"A",1550,"D","1","D"
"20142",2684335,40,0,"1","105","D",.,"A",224,"D","1","D"
"20142",2685095,40,0,"1","105","D",.,"A",250,"D","2","D"
"20142",2686275,28,0,"1","105","D",.,"A",150,"D","1","D"
"20142",2686335,5,0,"1","105","D",.,"A",230,"D","2","D"
"20142",2689275,16,0,"1","105","D",.,"A",425,"D","2","D"
"20142",2689545,32,0,"1","105","D",.,"A",1008,"D","1","D"
"20142",2690455,25,0,"1","105","D",.,"A",180,"D","1","D"
"20142",2690545,52,0,"1","105","D",.,"A",384,"D","1","D"
"20142",2694985,42,0,"1","105","D",.,"A",435,"D","1","D"
"20142",2694985,43,0,"1","105","D",.,"A",503,"D","1","D"
"20142",2695095,45,0,"1","105","D",.,"A",500,"D","1","D"
"20142",2696895,26,0,"1","105","D",.,"A",240,"D","1","D"
"20142",2697985,46,0,"1","105","D",.,"A",200,"D","1","D"
"20142",2698995,36,0,"1","105","D",.,"A",230,"D","1","D"
"20142",2699695,43,0,"1","105","D",.,"A",375,"D","1","D"
"20142",2699795,23,0,"1","105","D",.,"A",30,"D","2","D"
"20142",2699855,32,0,"1","105","D",.,"A",86,"D","1","D"
"20142",2700345,28,0,"1","105","D",.,"A",900,"D","1","D"
"20142",2701255,39,0,"1","105","D",.,"A",1000,"D","1","D"
"20142",2702525,34,0,"1","105","D",.,"A",300,"D","2","D"
"20142",2702665,64,0,"1","105","D",.,"A",900,"D","1","D"
"20142",2702665,65,0,"1","105","D",.,"A",500,"D","1","D"
"20142",2705015,16,0,"1","105","D",.,"A",65,"D","1","D"
"20142",2705585,28,0,"1","105","D",.,"A",1000,"D","2","D"
"20142",2707925,25,0,"1","105","D",.,"A",38,"D","2","D"
"20142",2708445,25,0,"1","105","D",.,"A",100,"D","2","D"
"20142",2708475,26,0,"1","105","D",.,"A",118,"D","1","D"
"20142",2710595,38,0,"1","105","D",.,"A",459,"D","1","D"
"20142",2711015,40,0,"1","105","D",.,"A",58,"D","1","D"
"20142",2711015,41,0,"1","105","D",.,"A",101,"D","1","D"
"20142",2711105,35,0,"1","105","D",.,"A",100,"D","2","D"
"20142",2711185,31,0,"1","130","D",.,"A",378,"D","1","D"
"20142",2713574,50,0,"1","105","D",.,"A",100,"D","1","D"
"20142",2713854,40,0,"1","105","D",.,"A",280,"D","1","D"
"20142",2716894,12,0,"1","105","D",.,"A",348,"D","1","D"
"20142",2717094,44,0,"1","105","D",.,"A",866,"D","1","D"
"20142",2717104,28,0,"1","105","D",.,"A",725,"D","2","D"
"20142",2717154,24,0,"1","105","D",.,"A",110,"D","1","D"
"20142",2717814,29,0,"1","120","D",.,"A",2000,"D","2","D"
"20142",2717944,27,0,"1","105","D",.,"A",800,"D","1","D"
"20142",2718474,14,0,"1","105","D",.,"A",378,"F","2","D"
"20142",2719614,30,0,"1","105","D",.,"A",40,"D","1","D"
"20142",2719645,33,0,"1","105","D",.,"A",100,"D","2","D"
"20142",2720594,17,0,"1","105","D",.,"A",300,"D","1","D"
"20142",2720864,37,0,"1","105","D",.,"A",740,"D","1","D"
"20142",2720864,38,0,"1","105","D",.,"A",430,"D","1","D"
"20142",2721254,32,0,"1","105","D",.,"A",250,"D","1","D"
"20142",2721404,42,0,"1","105","D",.,"A",219,"D","1","D"
"20142",2721434,30,0,"1","105","D",.,"A",90,"D","2","D"
"20142",2722324,25,0,"1","105","D",.,"A",130,"D","1","D"
"20142",2725074,18,0,"1","105","D",.,"A",353,"D","1","D"
"20142",2726104,37,0,"1","105","D",.,"A",276,"F","1","D"
"20142",2727294,25,0,"1","105","D",.,"A",160,"D","2","D"
"20142",2727454,33,0,"1","105","D",.,"A",466,"D","1","D"
"20142",2729614,24,0,"1","105","D",.,"A",40,"D","2","D"
"20142",2729954,42,0,"1","105","D",.,"A",79,"D","1","D"
"20142",2730094,11,0,"1","105","D",.,"A",174,"D","2","D"
"20142",2730564,9,0,"1","105","D",.,"A",120,"D","2","D"
"20142",2731024,42,0,"1","105","D",.,"A",374,"D","1","D"
"20142",2731024,43,0,"1","170","D",.,"A",120,"D","1","D"
"20142",2732354,23,0,"1","105","D",.,"A",45,"D","2","D"
"20142",2732354,24,0,"1","105","D",.,"A",45,"D","2","D"
"20142",2733804,46,0,"1","105","D",.,"A",385,"D","1","D"
"20142",2734134,39,0,"1","105","D",.,"A",700,"D","1","D"
"20142",2734154,40,0,"1","105","D",.,"A",200,"D","1","D"
