"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX"
"20151",2876214,21,0,"1",.,"A"
"20151",2876224,16,0,"1",.,"A"
"20151",2876234,89,0,"1",.,"A"
"20151",2876264,29,0,"1",.,"A"
"20151",2876284,8,0,"1",.,"A"
"20151",2876294,34,0,"1",.,"A"
"20151",2876304,17,0,"1",.,"A"
"20151",2876364,26,0,"1",.,"A"
"20151",2876404,42,0,"1",.,"A"
"20151",2876424,19,0,"1",.,"A"
"20151",2876444,21,0,"1",.,"A"
"20151",2876464,24,0,"1",.,"A"
"20151",2876484,28,0,"1",25,"D"
"20151",2876494,16,0,"1",.,"A"
"20151",2876504,16,0,"1",.,"A"
"20151",2876534,15,0,"1",.,"A"
"20151",2876544,74,0,"1",.,"A"
"20151",2876564,23,0,"1",.,"A"
"20151",2876574,49,0,"1",.,"A"
"20151",2876594,44,0,"1",.,"A"
"20151",2876624,41,0,"1",.,"A"
"20151",2876634,14,0,"1",.,"A"
"20151",2876644,30,0,"1",.,"A"
"20151",2876654,33,0,"1",.,"A"
"20151",2876674,42,0,"1",.,"A"
"20151",2876684,17,0,"1",.,"A"
"20151",2876704,19,0,"1",.,"A"
"20151",2876724,65,0,"1",.,"A"
"20151",2876754,14,0,"1",.,"A"
"20151",2876784,36,0,"1",.,"A"
"20151",2876794,34,0,"1",.,"A"
"20151",2876824,45,0,"1",.,"A"
"20151",2876834,28,0,"1",.,"A"
"20151",2876844,16,0,"1",.,"A"
"20151",2876884,38,0,"1",.,"A"
"20151",2876894,22,0,"1",.,"A"
"20151",2876924,45,0,"1",.,"A"
"20151",2876944,50,0,"1",.,"A"
"20151",2876964,38,0,"1",.,"A"
"20151",2876984,48,0,"1",.,"A"
"20151",2876994,32,0,"1",.,"A"
"20151",2877004,23,0,"1",.,"A"
"20151",2877044,74,0,"1",.,"A"
"20151",2877064,57,0,"1",.,"A"
"20151",2877074,28,0,"1",.,"A"
"20151",2877094,27,0,"1",.,"A"
"20151",2877144,44,0,"1",.,"A"
"20151",2877214,35,0,"1",.,"A"
"20151",2877234,21,0,"1",.,"A"
"20151",2877274,30,0,"1",.,"A"
"20151",2877284,10,0,"1",.,"A"
"20151",2877304,45,0,"1",.,"A"
"20151",2877324,17,0,"1",.,"A"
"20151",2877344,29,0,"1",.,"A"
"20151",2877354,35,0,"1",.,"A"
"20151",2877364,56,0,"1",.,"A"
"20151",2877414,55,0,"1",.,"A"
"20151",2877424,55,0,"1",.,"A"
"20151",2877434,47,0,"1",.,"A"
"20151",2877444,10,0,"1",.,"A"
"20151",2877454,37,0,"1",.,"A"
"20151",2877474,13,0,"1",.,"A"
"20151",2877514,26,0,"1",50,"D"
"20151",2877534,31,0,"1",.,"A"
"20151",2877544,29,0,"1",4,"D"
"20151",2877564,40,0,"1",.,"A"
"20151",2877574,12,0,"1",10,"D"
"20151",2877604,39,0,"1",.,"A"
"20151",2877614,41,0,"1",.,"A"
"20151",2877634,25,0,"1",.,"A"
"20151",2877654,88,0,"1",.,"A"
"20151",2877684,47,0,"1",.,"A"
"20151",2877704,28,0,"1",.,"A"
"20151",2877734,23,0,"1",.,"A"
"20151",2877764,30,0,"1",.,"A"
"20151",2877784,29,0,"1",.,"A"
"20151",2877794,12,0,"1",.,"A"
"20151",2877834,32,0,"1",.,"A"
"20151",2877864,45,0,"1",.,"A"
"20151",2877884,54,0,"1",.,"A"
"20151",2877904,60,0,"1",.,"A"
"20151",2877914,15,0,"1",.,"A"
"20151",2877924,19,0,"1",90,"D"
"20151",2877994,62,0,"1",.,"A"
"20151",2878014,40,0,"1",.,"A"
"20151",2878024,10,0,"1",.,"A"
"20151",2878074,36,0,"1",.,"A"
"20151",2878124,48,0,"1",.,"A"
"20151",2878154,43,0,"1",.,"A"
"20151",2878164,33,0,"1",.,"A"
"20151",2878174,21,0,"1",.,"A"
"20151",2878184,26,0,"1",.,"A"
"20151",2878204,47,0,"1",.,"A"
"20151",2878254,34,0,"1",.,"A"
"20151",2878304,11,0,"1",.,"A"
"20151",2878324,22,0,"1",.,"A"
"20151",2878334,9,0,"1",.,"A"
"20151",2878454,44,0,"1",.,"A"
"20151",2878474,33,0,"1",.,"A"
"20151",2878484,10,0,"1",.,"A"
"20151",2878514,32,0,"1",.,"A"
"20151",2878534,20,0,"1",.,"A"
"20151",2878544,28,0,"1",.,"A"
"20151",2878554,59,0,"1",.,"A"
"20151",2878574,15,0,"1",.,"A"
"20151",2878634,12,0,"1",.,"A"
"20151",2878644,39,0,"1",.,"A"
"20151",2878654,35,0,"1",.,"A"
"20151",2878664,27,0,"1",.,"A"
"20151",2878684,35,0,"1",.,"A"
"20151",2878694,14,0,"1",10,"D"
"20151",2878734,41,0,"1",.,"A"
"20151",2878754,28,0,"1",.,"A"
"20151",2878794,53,0,"1",.,"A"
"20151",2878804,44,0,"1",.,"A"
"20151",2900553,55,0,"1",.,"A"
"20151",2900573,45,0,"1",.,"A"
"20151",2900593,18,0,"1",.,"A"
"20151",2900635,39,0,"1",.,"A"
"20151",2900653,16,0,"1",.,"A"
"20151",2900663,89,0,"1",.,"A"
"20151",2900673,33,0,"1",.,"A"
"20151",2900713,47,0,"1",.,"A"
"20151",2900723,18,0,"1",.,"A"
"20151",2900743,33,0,"1",.,"A"
"20151",2900753,45,0,"1",.,"A"
"20151",2900773,19,0,"1",.,"A"
"20151",2900783,41,0,"1",.,"A"
"20151",2900793,43,0,"1",.,"A"
"20151",2900843,9,0,"1",.,"A"
"20151",2900853,50,0,"1",.,"A"
"20151",2900893,59,0,"1",.,"A"
"20151",2900903,55,0,"1",.,"A"
"20151",2900913,54,0,"1",.,"A"
"20151",2900923,59,0,"1",.,"A"
"20151",2900963,18,0,"1",.,"A"
"20151",2900973,79,0,"1",.,"A"
"20151",2900993,39,0,"1",.,"A"
"20151",2901035,47,0,"1",.,"A"
"20151",2901043,27,0,"1",.,"A"
"20151",2901053,21,0,"1",.,"A"
"20151",2901063,28,0,"1",.,"A"
"20151",2901153,29,0,"1",.,"A"
"20151",2901163,109,0,"1",.,"A"
"20151",2901173,11,0,"1",.,"A"
"20151",2901203,24,0,"1",175,"D"
"20151",2901213,14,0,"1",.,"A"
"20151",2901243,17,0,"1",.,"A"
"20151",2901253,30,0,"1",.,"A"
"20151",2901263,31,0,"1",.,"A"
"20151",2901293,98,0,"1",.,"A"
"20151",2901303,73,0,"1",.,"A"
"20151",2901313,12,0,"1",.,"A"
"20151",2901343,12,0,"1",.,"A"
"20151",2901365,107,0,"1",.,"A"
"20151",2901383,22,0,"1",.,"A"
"20151",2901403,26,0,"1",.,"A"
"20151",2901413,38,0,"1",15,"D"
"20151",2901423,20,0,"1",.,"A"
"20151",2901483,21,0,"1",.,"A"
"20151",2901493,24,0,"1",.,"A"
"20151",2901503,36,0,"1",.,"A"
"20151",2901513,26,0,"1",.,"A"
"20151",2901533,25,0,"1",.,"A"
"20151",2901543,44,0,"1",.,"A"
"20151",2901593,56,0,"1",.,"A"
"20151",2901623,11,0,"1",.,"A"
"20151",2901643,70,0,"1",.,"A"
"20151",2901663,32,0,"1",.,"A"
