"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","JALHOMQV","JALH_MQV","CIGARETX","CIGA_ETX","JCIGARQV","JCIG_RQV","JOTBACQV","JOTB_CQV","OTHTBACX","OTHT_ACX"
"20142",2787642,35,0,"1",975,"D",91,"D",.,"A",910,"D",.,"A",.,"A",.,"A",884,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2787662,23,0,"1",910,"D",195,"D",.,"A",325,"D",135,"D",.,"A",.,"A",715,"D",135,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2787672,25,0,"1",845,"D",455,"D",.,"A",390,"D",.,"A",.,"A",.,"A",390,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2787682,26,0,"1",2600,"D",1300,"D",.,"A",780,"D",.,"A",390,"D",.,"A",1300,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2787692,24,0,"1",585,"D",130,"D",.,"A",0,"D",.,"A",.,"A",.,"A",455,"D",.,"A",.,"A",.,"A",195,"D",15,"D"
"20142",2787702,44,0,"1",2600,"D",390,"D",.,"A",1300,"D",0,"D",.,"A",.,"A",2210,"D",300,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2787732,28,0,"1",1419,"F",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A",1170,"F",.,"A",33,"D",429,"D",.,"A",.,"A"
"20142",2787742,31,0,"1",1950,"D",390,"D",.,"A",416,"D",.,"A",.,"A",.,"A",1560,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2787763,15,0,"1",0,"D",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2787772,22,0,"1",2600,"D",520,"D",.,"A",0,"D",.,"A",.,"A",.,"A",2080,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2787785,28,0,"1",1950,"D",455,"D",.,"A",0,"D",.,"A",.,"A",240,"D",1495,"D",.,"A",70,"D",910,"D",.,"A",.,"A"
"20142",2787802,26,0,"1",975,"D",0,"D",.,"A",780,"D",.,"A",.,"A",.,"A",975,"D",.,"A",10,"D",130,"D",.,"A",.,"A"
"20142",2787832,44,0,"1",780,"D",130,"D",.,"A",650,"D",.,"A",.,"A",.,"A",650,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2787862,30,0,"1",650,"D",130,"D",.,"A",325,"D",0,"D",.,"A",.,"A",520,"D",90,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2787872,56,0,"1",1170,"D",0,"D",.,"A",260,"D",0,"D",.,"A",.,"A",1170,"D",45,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2787882,23,0,"1",520,"D",260,"D",.,"A",390,"D",.,"A",.,"A",.,"A",260,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2787902,25,0,"1",780,"D",130,"D",.,"A",260,"D",.,"A",.,"A",.,"A",650,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2787952,52,0,"1",2600,"D",364,"F",.,"A",650,"D",30,"D",.,"A",.,"A",1504,"F",60,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2787992,86,0,"1",1300,"D",130,"D",.,"A",0,"D",0,"D",.,"A",.,"A",1170,"D",150,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2788002,50,0,"1",2860,"D",1040,"D",.,"A",975,"D",.,"A",.,"A",.,"A",1820,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788012,54,0,"1",1170,"D",195,"D",.,"A",195,"D",0,"D",.,"A",429,"D",975,"D",120,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2788032,16,0,"1",1300,"D",0,"D",.,"A",325,"D",.,"A",.,"A",.,"A",1300,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788062,22,0,"1",650,"D",130,"D",.,"A",0,"D",.,"A",.,"A",.,"A",520,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788082,23,0,"1",1300,"D",260,"D",.,"A",130,"D",.,"A",.,"A",.,"A",1040,"D",.,"A",40,"D",520,"D",.,"A",.,"A"
"20142",2788092,29,0,"1",1690,"D",650,"D",.,"A",78,"D",.,"A",.,"A",.,"A",1040,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788102,34,0,"1",2600,"D",260,"D",.,"A",0,"D",.,"A",.,"A",.,"A",2340,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788122,39,0,"1",1820,"D",325,"D",.,"A",520,"D",.,"A",.,"A",.,"A",1495,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
