"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","S17CODEA","S17C_DEA","S17GFTCA","S17G_TCA","SUBEXPX","SUBEXPX_","SUBMO","SUBMO_"
"20141",2648755,51,0,"1","350","D","1","D",9,"D","13","D"
"20141",2648785,35,0,"1","830","D","1","D",37,"D","13","D"
"20141",2648925,15,0,"1","360","D","1","D",8,"D","13","D"
"20141",2648925,16,0,"1","370","D","1","D",65,"D","11","D"
"20141",2648925,17,0,"1","370","D","1","D",44,"D","12","D"
"20141",2648965,31,0,"1","360","D","1","D",8,"D","13","D"
"20141",2649025,20,0,"1","840","D","1","D",54,"D","11","D"
"20141",2649025,21,0,"1","160","D","1","D",21,"D","10","D"
"20141",2649025,22,0,"1","160","D","1","D",21,"D","11","D"
"20141",2649025,23,0,"1","160","D","1","D",21,"D","12","D"
"20141",2649025,24,0,"1","210","D","1","D",36,"D","12","D"
"20141",2649025,25,0,"1","340","D","1","D",48,"D","12","D"
"20141",2649105,34,0,"1","830","D","1","D",30,"D","13","D"
"20141",2649105,35,0,"1","610","D","1","D",160,"D","10","D"
"20141",2649105,36,0,"1","610","D","1","D",160,"D","11","D"
"20141",2649105,37,0,"1","510","D","1","D",80,"D","11","D"
"20141",2649105,38,0,"1","510","D","1","D",40,"D","12","D"
"20141",2649125,27,0,"1","510","D","1","D",20,"D","12","D"
"20141",2649125,28,0,"1","210","D","2","D",100,"D","12","D"
"20141",2649125,29,0,"1","310","D","1","D",16,"D","12","D"
"20141",2649125,30,0,"1","320","D","1","D",11,"D","12","D"
"20141",2649125,31,0,"1","340","D","1","D",20,"D","12","D"
"20141",2649205,74,0,"1","820","D","1","D",35,"D","12","D"
"20141",2649235,39,0,"1","160","D","1","D",25,"D","10","D"
"20141",2649235,40,0,"1","160","D","1","D",25,"D","11","D"
"20141",2649235,41,0,"1","160","D","1","D",25,"D","12","D"
"20141",2649235,42,0,"1","210","D","1","D",10,"D","10","D"
"20141",2649235,43,0,"1","210","D","1","D",10,"D","11","D"
"20141",2649235,44,0,"1","210","D","1","D",10,"D","12","D"
"20141",2649235,45,0,"1","320","D","1","D",14,"D","12","D"
"20141",2649235,46,0,"1","320","D","1","D",90,"D","12","D"
"20141",2649235,47,0,"1","360","D","1","D",8,"D","10","D"
"20141",2649275,14,0,"1","350","D","1","D",10,"D","10","D"
"20141",2649315,60,0,"1","510","D","1","D",15,"D","11","D"
"20141",2649315,61,0,"1","510","D","1","D",25,"D","11","D"
"20141",2649315,62,0,"1","340","D","1","D",5,"D","12","D"
"20141",2649315,63,0,"1","350","D","1","D",15,"D","13","D"
"20141",2649405,29,0,"1","210","D","1","D",12,"D","10","D"
"20141",2649405,30,0,"1","210","D","1","D",12,"D","11","D"
"20141",2649405,31,0,"1","210","D","1","D",12,"D","12","D"
"20141",2649405,32,0,"1","410","D","1","D",20,"D","10","D"
"20141",2649405,33,0,"1","410","D","1","D",20,"D","11","D"
"20141",2649405,34,0,"1","410","D","1","D",20,"D","12","D"
"20141",2649465,21,0,"1","210","D","1","D",12,"D","12","D"
"20141",2649475,29,0,"1","510","D","1","D",40,"D","12","D"
"20141",2649475,30,0,"1","350","D","1","D",3,"D","13","D"
"20141",2649485,55,0,"1","610","D","1","D",45,"D","11","D"
"20141",2649485,56,0,"1","150","D","1","D",13,"D","10","D"
"20141",2649485,57,0,"1","150","D","1","D",13,"D","11","D"
"20141",2649485,58,0,"1","150","D","1","D",13,"D","12","D"
"20141",2649485,59,0,"1","320","D","1","D",25,"D","12","D"
"20141",2649485,60,0,"1","350","D","1","D",12,"D","11","D"
"20141",2649485,61,0,"1","350","D","1","D",12,"D","12","D"
"20141",2649515,20,0,"1","210","D","1","D",75,"D","12","D"
"20141",2649535,101,0,"1","800","D","1","D",450,"D","13","D"
"20141",2649535,102,0,"1","830","D","1","D",45,"D","13","D"
"20141",2649535,103,0,"1","510","D","1","D",50,"D","12","D"
"20141",2649535,104,0,"1","210","D","1","D",100,"D","12","D"
"20141",2649585,28,0,"1","830","D","1","D",78,"D","13","D"
"20141",2649585,29,0,"1","340","D","1","D",75,"D","10","D"
"20141",2649655,36,0,"1","510","D","1","D",36,"D","12","D"
"20141",2649655,37,0,"1","350","D","1","D",6,"D","13","D"
"20141",2649665,25,0,"1","160","D","1","D",60,"D","12","D"
"20141",2649675,40,0,"1","210","D","1","D",45,"D","10","D"
"20141",2649675,41,0,"1","210","D","1","D",45,"D","11","D"
"20141",2649675,42,0,"1","210","D","1","D",45,"D","12","D"
"20141",2649675,43,0,"1","210","D","2","D",40,"D","12","D"
"20141",2649675,44,0,"1","360","D","1","D",8,"D","13","D"
"20141",2649725,41,0,"1","830","D","1","D",40,"D","13","D"
"20141",2649725,42,0,"1","160","D","1","D",5,"D","10","D"
"20141",2649725,43,0,"1","160","D","1","D",10,"D","11","D"
"20141",2649725,44,0,"1","360","D","1","D",8,"D","13","D"
"20141",2649805,14,0,"1","360","D","1","D",8,"D","13","D"
"20141",2649895,35,0,"1","500","D","1","D",200,"D","11","D"
"20141",2649915,24,0,"1","830","D","1","D",20,"D","13","D"
"20141",2649915,25,0,"1","160","D","1","D",10,"D","12","D"
"20141",2649915,26,0,"1","510","D","1","D",240,"D","11","D"
"20141",2649965,41,0,"1","150","D","1","D",23,"D","10","D"
"20141",2649965,42,0,"1","350","D","1","D",2,"D","12","D"
"20141",2649965,43,0,"1","320","D","1","D",20,"D","12","D"
"20141",2649985,34,0,"1","510","D","1","D",22,"D","11","D"
"20141",2649985,35,0,"1","510","D","1","D",22,"D","12","D"
"20141",2650035,43,0,"1","830","D","1","D",52,"D","13","D"
"20141",2650035,44,0,"1","840","D","1","D",55,"D","10","D"
"20141",2650035,45,0,"1","340","D","1","D",20,"D","12","D"
"20141",2650115,30,0,"1","830","D","1","D",40,"D","13","D"
"20141",2650115,31,0,"1","510","D","1","D",100,"D","10","D"
"20141",2650185,33,0,"1","500","D","1","D",60,"D","11","D"
"20141",2650185,34,0,"1","340","D","1","D",80,"D","12","D"
"20141",2650195,63,0,"1","830","D","1","D",54,"D","13","D"
"20141",2650195,64,0,"1","500","D","1","D",65,"D","11","D"
"20141",2650195,65,0,"1","510","D","1","D",60,"D","12","D"
"20141",2650195,66,0,"1","510","D","1","D",15,"D","10","D"
"20141",2650195,67,0,"1","510","D","1","D",15,"D","11","D"
"20141",2650195,68,0,"1","510","D","1","D",15,"D","12","D"
"20141",2650195,69,0,"1","160","D","1","D",6,"D","10","D"
"20141",2650195,70,0,"1","160","D","1","D",6,"D","11","D"
"20141",2650195,71,0,"1","160","D","1","D",6,"D","12","D"
"20141",2650195,72,0,"1","210","D","1","D",20,"D","11","D"
"20141",2650195,73,0,"1","210","D","1","D",40,"D","12","D"
"20141",2650195,74,0,"1","310","D","1","D",7,"D","11","D"
"20141",2650195,75,0,"1","320","D","1","D",45,"D","12","D"
"20141",2650195,76,0,"1","320","D","1","D",10,"D","10","D"
"20141",2650195,77,0,"1","320","D","1","D",10,"D","11","D"
"20141",2650195,78,0,"1","320","D","1","D",10,"D","12","D"
"20141",2650195,79,0,"1","340","D","1","D",120,"D","12","D"
"20141",2650195,80,0,"1","360","D","1","D",10,"D","13","D"
"20141",2650195,81,0,"1","350","D","1","D",5,"D","13","D"
"20141",2650195,82,0,"1","400","D","1","D",50,"D","12","D"
"20141",2650245,46,0,"1","510","D","1","D",25,"D","12","D"
"20141",2650245,47,0,"1","510","D","1","D",25,"D","11","D"
"20141",2650245,48,0,"1","360","D","1","D",8,"D","13","D"
"20141",2650275,67,0,"1","830","D","1","D",21,"D","13","D"
"20141",2650275,68,0,"1","210","D","1","D",75,"D","12","D"
"20141",2650285,28,0,"1","510","D","1","D",60,"D","11","D"
"20141",2650295,38,0,"1","830","D","1","D",22,"D","13","D"
"20141",2650295,39,0,"1","360","D","1","D",9,"D","13","D"
"20141",2650315,27,0,"1","510","D","1","D",60,"D","12","D"
"20141",2650335,35,0,"1","500","D","1","D",10,"D","12","D"
"20141",2650385,21,0,"1","830","D","1","D",20,"D","13","D"
"20141",2650495,35,0,"1","160","D","1","D",12,"D","10","D"
"20141",2650495,36,0,"1","160","D","1","D",12,"D","11","D"
"20141",2650495,37,0,"1","160","D","1","D",12,"D","12","D"
"20141",2650495,38,0,"1","340","D","1","D",35,"D","12","D"
"20141",2650495,39,0,"1","360","D","1","D",8,"D","13","D"
"20141",2650515,31,0,"1","830","D","1","D",40,"D","13","D"
"20141",2650575,59,0,"1","150","D","1","D",16,"D","10","D"
"20141",2650575,60,0,"1","150","D","1","D",29,"D","10","D"
"20141",2650635,23,0,"1","510","D","1","D",20,"D","11","D"
"20141",2650685,28,0,"1","810","D","1","D",100,"D","11","D"
"20141",2650685,29,0,"1","510","D","1","D",40,"D","12","D"
"20141",2650685,30,0,"1","210","D","1","D",50,"D","12","D"
"20141",2650685,31,0,"1","350","D","1","D",10,"D","13","D"
"20141",2650715,22,0,"1","510","D","1","D",7,"D","12","D"
"20141",2650735,53,0,"1","610","D","1","D",200,"D","11","D"
"20141",2650825,38,0,"1","360","D","1","D",9,"D","13","D"
"20141",2650825,39,0,"1","330","D","1","D",20,"D","11","D"
"20141",2650825,40,0,"1","320","D","1","D",40,"D","12","D"
"20141",2650865,33,0,"1","150","D","1","D",12,"D","10","D"
"20141",2650865,34,0,"1","150","D","1","D",12,"D","11","D"
"20141",2650865,35,0,"1","150","D","1","D",12,"D","12","D"
"20141",2650865,36,0,"1","340","D","1","D",10,"D","11","D"
"20141",2650955,12,0,"1","370","D","1","D",60,"D","12","D"
"20141",2651025,43,0,"1","840","D","1","D",40,"D","11","D"
"20141",2651025,44,0,"1","210","D","1","D",50,"D","12","D"
"20141",2651045,23,0,"1","150","D","1","D",7,"D","12","D"
"20141",2651045,24,0,"1","150","D","1","D",7,"D","11","D"
"20141",2651045,25,0,"1","150","D","1","D",7,"D","10","D"
"20141",2651115,46,0,"1","150","D","1","D",54,"D","11","D"
"20141",2651165,33,0,"1","510","D","1","D",20,"D","12","D"
"20141",2651165,34,0,"1","150","D","1","D",16,"D","10","D"
"20141",2651165,35,0,"1","150","D","1","D",16,"D","11","D"
"20141",2651165,36,0,"1","150","D","1","D",16,"D","12","D"
"20141",2651165,37,0,"1","360","D","1","D",8,"D","13","D"
"20141",2651195,30,0,"1","810","D","1","D",10,"D","11","D"
