"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOF","PROP0NOF","OWNYF","OWNYF_","NEWMRRT","NEWMRRT_","ORGMRTX","ORGMRTX_","QMRTTERM","QMRT_ERM","MRTPMTX","MRTPMTX_","PAYPROTX","PAYP_OTX","PAYPROIN","PAYP_OIN","PAYMORIN","PAYM_RIN","PAYOTHER","PAYO_HER","QESCROWX","QESC_OWX","QPRINM1X","QPRI_M1X","QPRINM2X","QPRI_M2X","QPRINM3X","QPRI_M3X","QADINT1X","QADI_T1X","QADINT2X","QADI_T2X","QADINT3X","QADI_T3X","QRFINDAT","QRFI_DAT","FRSTPYMO","FRST_YMO","FRSTPYYR","FRST_YYR","FIXEDRTE","FIXE_RTE","QNEWDATE","QNEW_ATE","QBLNCM1X","QBLN_M1X","QBLNCM2X","QBLN_M2X","QBLNCM3X","QBLN_M3X","LOAN_NOF","LOAN0NOF","VARRTE","VARRTE_","INTONLY","INTONLY_","OTHRTE","OTHRTE_","PAYMT1X","PAYMT1X_","PAYMT2X","PAYMT2X_","PAYMT3X","PAYMT3X_","PAYPRINI","PAYP_INI","PAYINT","PAYINT_"
"20144",2870653,23,0,"5","01","D","100","D",0.16,"F",19000,"F",30,"F",360,"F",,"B",,"B",,"B",,"B",104,"F",36,"F",37,"F",37,"F",220,"F",219,"F",219,"F",,"A","04","F","1998","F","1","F",,"A",16482,"F",16446,"F",16409,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2870873,18,0,"5","01","D","100","D",0.05,"D",165000,"D",30,"D",1350,"D","3","D","4","D",,"A",,"A",464,"D",295,"D",296,"D",297,"D",591,"D",590,"D",589,"D",,"A","10","D","2006","D","1","D",,"A",141923,"D",141629,"D",141333,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2870893,27,0,"5","01","D","100","D",0.0784,"D",97000,"D",30,"D",738,"D",,"B",,"B",,"B",,"B",37,"D",67,"D",68,"D",68,"D",634,"D",633,"D",633,"D",,"A","09","D","2014","D","1","D","092014","D",97000,"D",96933,"D",96865,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2870943,8,0,"5","01","D","100","D",0.0784,"F",114303,"F",30,"F",826,"F",,"A",,"A",,"A",,"A",0,"F",328,"F",330,"F",332,"F",498,"F",496,"F",494,"F",,"A","06","F","1996","F","1","F",,"A",76282,"F",75954,"F",75625,"F","01","D",,"C",,"C",,"C",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2871003,27,0,"5","01","D","100","D",0.0784,"D",201898,"D",30,"D",1459,"D","3","D","4","D",,"A",,"A",0,"D",172,"D",173,"D",175,"D",1287,"D",1286,"D",1284,"D",,"A","01","D","2012","D","1","D","092014","D",196936,"D",196763,"D",196590,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2871003,45,0,"5","01","D","100","D",0.0784,"D",320375,"F",30,"D",5788,"V",,"A",,"A",,"A",,"A",0,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","092014","D","01","F","2012","D","1","D",,"A",.,"A",.,"A",.,"A","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A",,"C",,"A"
"20144",2871023,31,0,"5","01","D","100","D",0.0425,"D",120000,"D",30,"D",1270,"D","3","D","4","D",,"A",,"A",680,"D",195,"D",196,"D",196,"D",395,"D",394,"D",394,"D",,"A","10","D","2010","D","1","D",,"A",111578,"D",111384,"D",111188,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2871033,11,0,"5","01","D","100","D",0.0784,"D",123000,"D",30,"D",940,"D","3","D",,"A",,"A",,"A",51,"D",120,"D",121,"D",121,"D",769,"D",768,"D",768,"D",,"A","05","D","2010","D","1","D",,"A",117732,"D",117612,"D",117492,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2871043,24,0,"5","01","D","100","D",0.0784,"D",21415,"D",20,"D",218,"D","3","D","4","D",,"A",,"A",41,"D",44,"D",44,"D",44,"D",133,"D",133,"D",133,"D",,"A","08","D","2012","D","1","D",,"A",20411,"D",20368,"D",20324,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2871073,46,0,"5","01","D","100","D",0.0784,"D",325000,"D",30,"D",2640,"D","3","D","4","D","5","D",,"A",291,"D",259,"D",260,"D",262,"D",2090,"D",2089,"D",2087,"D",,"A","12","D","2012","D","1","D",,"A",319938,"D",319679,"D",319419,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2871093,13,0,"5","01","D","100","D",0.0784,"F",154849,"F",30,"F",1486,"F","3","F","4","F","5","F",,"A",367,"F",112,"F",113,"F",114,"F",1007,"F",1006,"F",1005,"F",,"A","02","F","2014","F","1","F",,"A",154083,"F",153971,"F",153857,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2871143,44,0,"5","01","D","100","D",0.048,"D",192694,"D",30,"D",1295,"D","3","D","4","D",,"A",,"A",284,"D",268,"D",269,"D",270,"D",743,"D",742,"D",741,"D",,"A","06","D","2012","D","1","D",,"A",185859,"D",185592,"D",185323,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2871153,10,0,"1","01","D","100","D",0.0784,"F",60331,"F",15,"F",693,"F","3","F","4","F",,"A",,"A",122,"F",.,"A",190,"F",191,"F",.,"A",381,"F",380,"F",,"A","11","F","2013","F","1","F","102014","F",.,"A",58321,"F",58131,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2871173,21,0,"5","01","D","100","D",0.0463,"D",225000,"D",30,"D",1800,"D","3","D","4","D",,"A",,"A",643,"D",535,"D",537,"D",539,"D",560,"D",558,"D",556,"D",,"A","05","D","2001","D","1","D",,"A",161227,"D",160692,"D",160155,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2871203,14,0,"5","01","D","100","D",0.0784,"F",250000,"F",30,"F",2100,"F","3","F","4","F","5","F",,"A",293,"F",220,"F",221,"F",222,"F",1587,"F",1586,"F",1585,"F",,"A","07","F","2011","F","1","F",,"A",242977,"F",242758,"F",242537,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2871233,13,0,"5","01","D","100","D",0.0784,"D",35979,"D",30,"D",260,"D",,"A",,"A",,"A",,"A",0,"D",26,"D",26,"D",26,"D",234,"D",234,"D",234,"D",,"A","02","D","2014","D","1","D",,"A",35801,"D",35775,"D",35749,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2871323,21,0,"5","01","D","100","D",0.0784,"D",85796,"D",30,"D",620,"D",,"A",,"A",,"A",,"A",0,"D",64,"D",65,"D",65,"D",556,"D",555,"D",555,"D",,"A","09","D","2013","D","1","D",,"A",85056,"D",84992,"D",84927,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2871383,59,0,"5","01","D","100","D",0.0784,"D",221410,"D",30,"D",1800,"D","3","D",,"A",,"A",,"A",200,"D",169,"D",170,"D",171,"D",1431,"D",1430,"D",1429,"D",,"A","06","D","2013","D","1","D",,"A",219000,"D",218831,"D",218660,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
