"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","EDUC_AY","EDUC_AY_","EDUCGFTC","EDUC_FTC","EDSCHL_A","EDSC_L_A","EDMONTHA","EDMO_THA","EDREIMBX","EDRE_MBX","JEDUCNET","JEDU_NET","EDUC_A1","EDUC_A1_","EDUC_A2","EDUC_A2_","EDUC_A3","EDUC_A3_","EDUC_A4","EDUC_A4_","EDUC_A5","EDUC_A5_","EDUC_A6","EDUC_A6_","EDUC_A7","EDUC_A7_","EDUC_A8","EDUC_A8_","EDUC_A9","EDUC_A9_"
"20144",2932302,9,0,"1","200","D","1","D",,"A","10","D",.,"A",90,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2932302,10,0,"1","100","D","1","D",,"A","13","D",.,"A",48,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2932302,11,0,"1","100","D","1","D",,"A","13","D",.,"A",65,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2932302,12,0,"1","100","D","1","D",,"A","09","D",.,"A",65,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2932302,13,0,"1","100","D","1","D",,"A","10","D",.,"A",60,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2932302,14,0,"1","100","D","1","D",,"A","13","D",.,"A",100,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2932342,7,0,"1","300","D","1","D","2","D","13","D",.,"A",630,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2932342,8,0,"1","360","D","1","D",,"A","09","D",.,"A",40,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2932342,9,0,"1","350","D","1","D","2","D","09","D",.,"A",45,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2932352,5,0,"1","100","D","1","D",,"A","09","D",.,"A",168,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
