"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOH","PROP0NOH","OWNYH","OWNYH_","PAIDLOAN","PAID_OAN","PRIMPLUS","PRIM_LUS","JINTPDX","JINTPDX_","JLCPRINX","JLCP_INX","LOAN_NOH","LOAN0NOH","TOTOWED","TOTOWED_"
"20141",2696564,32,0,"5","01","D","100","D","1","D",0.0475,"D",166,"D",284,"D","01","D",14000,"D"
"20141",2696564,33,0,"5","01","D","100","D","1","D",0.0475,"D",428,"D",1372,"D","02","D",36000,"D"
"20141",2697984,32,0,"5","01","D","100","D","1","D",0.0475,"D",582,"D",528,"D","01","D",49000,"D"
"20141",2698084,21,0,"5","01","D","100","D","2","D",0.0475,"D",100,"F",1919,"F","01","D",8451,"F"
"20141",2699664,34,0,"5","01","D","100","D","1","D",0.0475,"D",1603,"D",-1303,"D","01","D",135000,"D"
"20141",2699694,38,0,"5","01","D","100","D","1","D",0.0475,"D",170,"D",40,"D","01","D",14331,"D"
"20141",2700064,40,0,"5","01","D","100","D","1","D",0.0475,"D",2375,"D",-974,"D","01","D",200000,"D"
"20141",2700214,22,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",82000,"D"
"20141",2700354,41,0,"5","01","D","100","D","1","D",0.0475,"D",392,"D",208,"D","01","D",33000,"D"
"20141",2700534,46,0,"5","01","D","100","D","1","D",0.0475,"D",772,"D",-172,"D","01","D",65000,"D"
"20141",2700574,39,0,"5","01","D","100","D","1","D",0.0475,"D",1948,"D",-591,"D","01","D",164000,"D"
"20141",2700774,20,0,"5","01","D","100","D","1","D",0.0475,"D",1769,"D",-464,"D","01","D",149000,"D"
"20141",2701414,19,0,"5","01","D","100","D","1","D",0.0475,"D",160,"D",740,"D","01","D",13500,"D"
"20141",2702004,57,0,"5","01","D","100","D","2","D",0.0475,"D",238,"F",362,"F","01","D",20000,"F"
"20141",2702134,49,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20141",2702724,46,0,"5","01","D","100","D","1","D",0.0475,"D",523,"D",77,"D","01","D",44000,"D"
"20141",2705044,38,0,"5","01","D","100","D","2","D",0.0475,"D",226,"F",374,"F","01","D",19000,"F"
"20141",2706064,24,0,"5","01","D","100","D","1","D",0.0475,"D",36,"D",1564,"D","01","D",3000,"D"
"20141",2706074,26,0,"5","01","D","100","D","1","D",0.0475,"D",303,"F",597,"F","01","D",25500,"F"
"20141",2706324,44,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20141",2706584,69,0,"5","01","D","100","D","1","D",0.0475,"D",90,"D",860,"D","01","D",7564,"D"
"20141",2707284,34,0,"5","01","D","100","D","1","D",0.0475,"D",102,"D",198,"D","01","D",8600,"D"
"20141",2707454,32,0,"5","01","D","100","D","1","D",0.0475,"D",321,"D",1653,"D","01","D",27000,"D"
"20141",2707834,20,0,"5","01","D","100","D","1","D",0.0475,"D",143,"F",607,"F","01","D",12000,"F"
"20141",2708494,29,0,"5","01","D","100","D","1","D",0.0475,"D",236,"D",-59,"D","01","D",19866,"D"
"20141",2709024,33,0,"5","01","D","100","D","1","D",0.0475,"D",986,"D",2014,"D","01","D",83000,"D"
"20141",2709144,22,0,"5","01","D","100","D","1","D",0.0475,"D",392,"D",718,"D","01","D",33000,"D"
"20141",2709814,23,0,"5","01","D","100","D","1","D",0.0475,"D",74,"D",2026,"D","01","D",6200,"D"
"20141",2710004,26,0,"5","01","D","100","D","1","D",0.0475,"D",143,"D",757,"D","01","D",12000,"D"
"20141",2710304,23,0,"5","01","D","100","D","1","D",0.0475,"D",10,"D",140,"D","01","D",800,"D"
"20141",2710904,32,0,"5","01","D","100","D","1","D",0.0475,"D",321,"D",21242,"T","01","D",27000,"D"
"20141",2711564,38,0,"5","01","D","100","D","1","D",0.0475,"D",219,"D",81,"D","01","D",18472,"D"
"20141",2711714,44,0,"5","01","D","100","D","1","D",0.0475,"D",277,"D",1223,"D","01","D",23300,"D"
"20141",2712064,16,0,"5","01","D","100","D","1","D",0.0475,"D",42,"D",258,"D","01","D",3500,"D"
"20141",2712264,14,0,"5","01","D","100","D","1","D",0.0475,"D",2019,"D",-819,"D","01","D",170000,"D"
"20141",2712414,41,0,"5","01","D","100","D","1","D",0.0475,"D",2969,"D",-779,"D","01","D",330551,"T"
"20141",2712484,26,0,"5","01","D","100","D","1","D",0.0475,"D",143,"D",1057,"D","01","D",12000,"D"
"20141",2712884,40,0,"5","01","D","100","D","1","D",0.0475,"D",416,"D",34,"D","01","D",35000,"D"
"20141",2713044,26,0,"5","01","D","100","D","1","D",0.0475,"D",285,"D",315,"D","01","D",24000,"D"
"20141",2713573,29,0,"5","02","D","300","D","1","D",0.0475,"D",0,"D",0,"D","01","D",0,"D"
"20141",2714063,38,0,"5","01","D","100","D","1","D",0.0475,"D",0,"D",0,"D","01","D",0,"D"
"20141",2714323,14,0,"5","01","D","100","D","1","D",0.0475,"D",534,"F",6266,"F","01","D",45000,"F"
"20141",2715413,12,0,"1","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",200,"D"
"20141",2715513,31,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20141",2716593,43,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",108014,"D"
"20141",2717003,13,0,"5","01","D","100","D","1","D",0.0475,"D",439,"D",713,"D","01","D",37000,"D"
"20141",2717453,23,0,"5","01","D","100","D","1","D",0.0475,"D",1484,"D",6016,"D","01","D",125000,"D"
"20141",2717803,28,0,"5","01","D","100","D","1","D",0.0475,"D",831,"D",-306,"D","01","D",70000,"D"
"20141",2719223,50,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20141",2719323,54,0,"5","01","D","100","D","1","D",0.0475,"D",404,"D",-154,"D","01","D",34000,"D"
"20141",2719493,33,0,"5","01","D","100","D","1","D",0.0475,"D",356,"D",2944,"D","01","D",30000,"D"
"20141",2719803,34,0,"5","01","D","100","D","1","D",0.0475,"D",641,"D",1411,"D","01","D",54000,"D"
"20141",2719923,30,0,"5","01","D","100","D","1","D",0.0475,"D",445,"F",290,"F","01","D",37500,"F"
"20141",2720683,19,0,"5","01","D","100","D","1","D",0.0475,"D",4,"D",446,"D","01","D",300,"D"
"20141",2720853,46,0,"5","01","D","100","D","1","D",0.0475,"D",174,"D",487,"D","01","D",14694,"D"
"20141",2721253,25,0,"5","01","D","100","D","1","D",0.0475,"D",243,"D",507,"D","01","D",20500,"D"
"20141",2721263,16,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",10000,"D"
"20141",2721303,28,0,"5","01","D","100","D","1","D",0.0475,"D",594,"D",606,"D","01","D",50000,"D"
"20141",2721353,33,0,"5","01","D","100","D","1","D",0.0475,"D",238,"F",362,"F","01","D",20000,"F"
"20141",2721733,10,0,"5","01","D","100","D","1","D",0.0475,"D",238,"D",722,"D","01","D",20000,"D"
"20141",2721973,21,0,"5","01","D","100","D","1","D",0.0475,"D",226,"D",139,"D","01","D",19000,"D"
"20141",2721983,34,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20141",2722393,21,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",2,"D"
"20141",2722503,45,0,"5","01","D","100","D","1","D",0.0475,"D",44,"D",-44,"D","01","D",3700,"D"
"20141",2723103,29,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20141",2723893,45,0,"5","01","D","100","D","1","D",0.0475,"D",82,"D",-82,"D","01","D",6878,"D"
"20141",2724223,14,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20141",2725273,14,0,"5","01","D","100","D","1","D",0.0475,"D",131,"F",40,"F","01","D",11000,"F"
"20141",2725953,23,0,"5","01","D","100","D","1","D",0.0475,"D",238,"D",1229,"D","01","D",20000,"D"
"20141",2726133,47,0,"5","01","D","100","D","1","D",0.0475,"D",333,"D",2467,"D","01","D",28000,"D"
"20141",2726683,23,0,"5","01","D","100","D","1","D",0.0475,"D",202,"D",21242,"T","01","D",17000,"D"
"20141",2727423,14,0,"5","01","D","100","D","1","D",0.0475,"D",1140,"D",250,"D","01","D",96000,"D"
"20141",2727723,30,0,"5","01","D","100","D","1","D",0.0475,"D",0,"D",0,"D","01","D",0,"D"
"20141",2728393,25,0,"5","01","D","100","D","1","D",0.0475,"D",226,"F",134,"F","01","D",19000,"F"
"20141",2728503,26,0,"5","01","D","100","D","1","D",0.0475,"D",160,"D",1518,"D","01","D",13500,"D"
"20141",2729113,21,0,"5","01","D","100","D","1","D",0.0475,"D",380,"D",-80,"D","01","D",32000,"D"
"20141",2730173,35,0,"5","01","D","100","D","1","D",0.0475,"D",12,"D",238,"D","01","D",1000,"D"
"20141",2731123,30,0,"5","02","D","300","D","1","D",0.0475,"D",43,"D",2927,"T","01","D",3600,"D"
"20141",2731543,54,0,"5","01","D","100","D","1","D",0.0475,"D",1841,"D",-1798,"D","01","D",155000,"D"
"20141",2731603,37,0,"5","01","D","100","D","1","D",0.0475,"D",143,"D",21242,"T","01","D",12000,"D"
"20141",2732153,32,0,"5","01","D","100","D","1","D",0.0475,"D",499,"D",1101,"D","01","D",42000,"D"
"20141",2732253,36,0,"5","01","D","100","D","1","D",0.0475,"D",52,"F",774,"F","01","D",4339,"F"
"20141",2732823,22,0,"5","01","D","100","D","2","D",0.0475,"D",641,"F",1459,"F","01","D",54000,"F"
"20141",2733273,37,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",64000,"D"
"20141",2733703,47,0,"5","01","D","100","D","1","D",0.0475,"D",152,"D",3024,"D","01","D",12825,"D"
"20141",2733893,29,0,"5","01","D","100","D","1","D",0.0475,"D",1093,"D",932,"D","01","D",92000,"D"
"20141",2735253,35,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20141",2736013,35,0,"5","01","D","100","D","1","D",0.0475,"D",428,"D",1672,"D","01","D",36000,"D"
"20141",2736283,20,0,"5","01","D","100","D","1","D",0.0475,"D",71,"F",529,"F","01","D",6000,"F"
"20141",2737043,38,0,"5","01","D","100","D","1","D",0.0475,"D",382,"D",668,"D","01","D",32200,"D"
"20141",2737293,33,0,"5","01","D","100","D","2","D",0.0475,"D",143,"F",57,"F","01","D",12000,"F"
"20141",2737643,20,0,"5","01","D","100","D","1","D",0.0475,"D",404,"D",196,"D","01","D",34000,"D"
"20141",2737883,16,0,"1","01","D","100","D","1","D",0.0475,"D",12,"D",588,"D","01","D",1000,"D"
"20141",2738983,34,0,"5","01","D","100","D","1","D",0.0475,"D",178,"D",269,"D","01","D",15000,"D"
