"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOG","PROP0NOG","OWNYG","OWNYG_","NEWMRTG","NEWMRTG_","ORGMRTG","ORGMRTG_","QMRTTRMG","QMRT_RMG","MRTPMTG","MRTPMTG_","PAYPRTXG","PAYP_TXG","PAYPRING","PAYP_ING","PAYMRING","PAYM_ING","PAYOTHRG","PAYO_HRG","QESCROWG","QESC_OWG","QPRINM1G","QPRI_M1G","QPRINM2G","QPRI_M2G","QPRINM3G","QPRI_M3G","QADINT1G","QADI_T1G","QADINT2G","QADI_T2G","QADINT3G","QADI_T3G","QRFINDTG","QRFI_DTG","FRSTPYMG","FRST_YMG","FRSTPYRG","FRST_YRG","FIXDRTEG","FIXD_TEG","QNEWDATG","QNEW_ATG","QBLNCM1G","QBLN_M1G","QBLNCM2G","QBLN_M2G","QBLNCM3G","QBLN_M3G","LOAN_NOG","LOAN0NOG","VARRTEG","VARRTEG_","INTONLYG","INTO_LYG","OTHRTEG","OTHRTEG_","PAYMT1G","PAYMT1G_","PAYMT2G","PAYMT2G_","PAYMT3G","PAYMT3G_","PAYPRNPG","PAYP_NPG","PAYINTG","PAYINTG_"
"20144",2753415,70,0,"5","01","D","100","D",0.0859,"F",191208,"F",15,"F",1893,"F",,"A",,"A",,"A",,"A",0,"F",1364,"V",1370,"V",1377,"V",702,"F",694,"F",685,"F",,"A","12","F","2004","F","1","F",,"A",98112,"F",96921,"F",95722,"F","01","D",,"C",,"C",,"C",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2753535,20,0,"5","01","D","100","D",0.0425,"D",40000,"D",15,"D",345,"D",,"B",,"B",,"B",,"B",44,"D",163,"D",164,"D",164,"D",138,"D",137,"D",137,"D",,"A","12","D","2013","D","1","D",,"A",38873,"D",38709,"D",38546,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2754765,36,0,"5","01","D","100","D",0.0859,"D",60000,"D",10,"D",747,"D",,"A",,"A",,"A",,"A",0,"D",1364,"T",1370,"T",1377,"T",641,"D",625,"D",608,"D",,"A","06","D","2007","D","2","D",,"A",23048,"D",22467,"D",21881,"D","01","D","1","D",,"A",,"A",2178,"T",2178,"T",2275,"T","1","D","2","D"
"20144",2755035,28,0,"5","01","D","100","D",0.0859,"D",121209,"D",15,"D",1200,"D",,"A",,"A",,"A",,"A",0,"D",889,"D",896,"D",902,"D",311,"D",304,"D",298,"D",,"A","01","D","2003","D","1","D",,"A",43395,"D",42506,"D",41610,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2755485,14,0,"5","01","D","100","D",0.082,"D",18140,"D",20,"D",154,"D",,"A",,"A",,"A",,"A",0,"D",0,"D",0,"D",0,"D",154,"D",154,"D",154,"D",,"A","02","D","2009","D","1","D",,"A",18140,"D",18140,"D",18140,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A",,"A","2","D"
"20144",2758255,32,0,"5","01","D","100","D",0.07,"D",128432,"D",19,"D",1020,"D",,"A",,"A",,"A",,"A",0,"D",523,"D",526,"D",529,"D",472,"D",469,"D",466,"D",,"A","02","D","2005","D","1","D",,"A",85281,"D",84758,"D",84233,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2759325,23,0,"5","01","D","100","D",0.0859,"F",35000,"F",15,"F",700,"F",,"B",,"B",,"B",,"B",353,"F",139,"F",140,"F",141,"F",208,"F",207,"F",206,"F",,"A","06","F","2010","F","1","F",,"A",29088,"F",28949,"F",28809,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2760525,24,0,"5","01","D","100","D",0.0859,"D",12000,"D",15,"D",150,"D",,"B",,"B",,"B",,"B",31,"D",74,"D",74,"D",75,"D",45,"D",45,"D",44,"D",,"A","04","D","2005","D","1","D",,"A",6345,"D",6271,"D",6197,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2761205,27,0,"5","01","D","100","D",0.07,"D",60000,"D",18,"D",495,"D",,"B",,"B",,"B",,"B",6,"D",264,"D",265,"D",267,"D",225,"D",224,"D",222,"D",,"A","06","D","2005","D","1","D",,"A",38647,"D",38384,"D",38118,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2761885,23,0,"5","01","D","200","D",0.045,"F",50000,"F",15,"F",450,"F",,"B",,"B",,"B",,"B",68,"F",290,"F",291,"F",292,"F",92,"F",91,"F",90,"F",,"A","09","F","2005","F","1","F",,"A",24452,"F",24162,"F",23870,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
