"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20143",2806813,41,0,"1","400","D","06","D",30,"D",,"A",,"A",,"A",,"A"
"20143",2806833,57,0,"1","420","D","08","D",96,"D",,"A",,"A",,"A",,"A"
"20143",2806833,58,0,"1","400","D","08","D",5,"D",,"A",,"A",,"A",,"A"
"20143",2806853,49,0,"1","400","D","06","D",110,"D",,"A",,"A",,"A",,"A"
"20143",2806973,24,0,"1","410","D","07","D",1,"D",,"A",,"A",,"A",,"A"
"20143",2807033,34,0,"1","420","D","08","D",20,"D",,"A",,"A",,"A",,"A"
"20143",2807033,35,0,"1","420","D","08","D",20,"D",,"A",,"A",,"A",,"A"
"20143",2807083,28,0,"1","420","D","07","D",150,"D",,"A",,"A",,"A",,"A"
"20143",2807173,29,0,"1","400","D","06","D",20,"D",,"A",,"A",,"A",,"A"
"20143",2807173,30,0,"1","420","D","07","D",78,"D",,"A",,"A",,"A",,"A"
"20143",2807233,27,0,"1","420","D","07","D",50,"D",,"A",,"A",,"A",,"A"
"20143",2807233,28,0,"1","410","D","07","D",5,"D",,"A",,"A",,"A",,"A"
"20143",2807273,19,0,"1","405","D","07","D",111,"D",,"A",,"A",,"A",,"A"
"20143",2807295,34,0,"1","400","D","07","D",30,"D",,"A",,"A",,"A",,"A"
"20143",2807333,16,0,"1","400","D","08","D",65,"D",,"A",,"A",,"A",,"A"
"20143",2807473,22,0,"1","420","D","08","D",140,"D",,"A",,"A",,"A",,"A"
"20143",2807813,66,0,"1","410","D","07","D",45,"D",,"A",,"A",,"A",,"A"
"20143",2807813,67,0,"1","410","D","07","D",45,"D",,"A",,"A",,"A",,"A"
"20143",2807813,68,0,"1","420","D","07","D",75,"D",,"A",,"A",,"A",,"A"
"20143",2807813,69,0,"1","420","D","07","D",75,"D",,"A",,"A",,"A",,"A"
"20143",2807853,24,0,"1","420","D","08","D",95,"D",,"A",,"A",,"A",,"A"
"20143",2807963,56,0,"2","420","D","06","D",50,"D",,"A",,"A",,"A",,"A"
"20143",2808033,36,0,"1","430","D","08","D",.,"H","405","D","415","D",,"A",,"A"
"20143",2808033,36,1,"1","405","D","08","D",134,"E",,"A",,"A",,"A",,"A"
"20143",2808033,36,2,"1","420","D","08","D",149,"E",,"A",,"A",,"A",,"A"
"20143",2808173,49,0,"1","400","D","07","D",90,"D",,"A",,"A",,"A",,"A"
"20143",2808173,50,0,"1","405","D","07","D",288,"D",,"A",,"A",,"A",,"A"
"20143",2808173,51,0,"1","410","D","07","D",20,"D",,"A",,"A",,"A",,"A"
"20143",2808243,17,0,"1","410","D","08","D",5,"D",,"A",,"A",,"A",,"A"
"20143",2808313,30,0,"1","420","D","08","D",60,"D",,"A",,"A",,"A",,"A"
