"UCC","AMOUNT","IMPNUM","NEWID","PUB_FLAG","AMOUNT_"
"980070",190575,"2",2933901,"1",
"980070",190575,"3",2933901,"1",
"980070",190575,"4",2933901,"1",
"980070",190575,"5",2933901,"1",
"900000",176300,"1",2933902,"1",
"900000",176300,"2",2933902,"1",
"900000",176300,"3",2933902,"1",
"900000",176300,"4",2933902,"1",
"900000",176300,"5",2933902,"1",
"900190",15000,"1",2933902,"1",
"900190",15000,"2",2933902,"1",
"900190",15000,"3",2933902,"1",
"900190",15000,"4",2933902,"1",
"900190",15000,"5",2933902,"1",
"980000",191300,"1",2933902,"1",
"980000",191300,"2",2933902,"1",
"980000",191300,"3",2933902,"1",
"980000",191300,"4",2933902,"1",
"980000",191300,"5",2933902,"1",
"980070",190575,"1",2933902,"1",
"980070",190575,"2",2933902,"1",
"980070",190575,"3",2933902,"1",
"980070",190575,"4",2933902,"1",
"980070",190575,"5",2933902,"1",
"900000",87947,"1",2933931,"1",
"900000",82985,"2",2933931,"1",
"900000",74919,"3",2933931,"1",
"900000",72602,"4",2933931,"1",
"900000",71165,"5",2933931,"1",
"900180",1034,"1",2933931,"1",
"900180",1853,"2",2933931,"1",
"900180",1012,"3",2933931,"1",
"900180",1161,"4",2933931,"1",
"900180",1143,"5",2933931,"1",
"980000",88981,"1",2933931,"1",
"980000",84838,"2",2933931,"1",
"980000",75931,"3",2933931,"1",
"980000",73763,"4",2933931,"1",
"980000",72308,"5",2933931,"1",
"980070",88981,"1",2933931,"1",
"980070",84838,"2",2933931,"1",
"980070",75931,"3",2933931,"1",
"980070",73763,"4",2933931,"1",
"980070",72308,"5",2933931,"1",
"900000",73174,"1",2933932,"1",
"900000",80619,"2",2933932,"1",
"900000",74089,"3",2933932,"1",
"900000",70792,"4",2933932,"1",
"900000",76505,"5",2933932,"1",
"900180",1076,"1",2933932,"1",
"900180",1030,"2",2933932,"1",
"900180",1167,"3",2933932,"1",
"900180",1042,"4",2933932,"1",
"900180",1172,"5",2933932,"1",
"980000",74250,"1",2933932,"1",
"980000",81649,"2",2933932,"1",
"980000",75256,"3",2933932,"1",
"980000",71834,"4",2933932,"1",
"980000",77677,"5",2933932,"1",
"980070",74250,"1",2933932,"1",
"980070",81649,"2",2933932,"1",
"980070",75256,"3",2933932,"1",
"980070",71834,"4",2933932,"1",
"980070",77677,"5",2933932,"1",
"900000",240000,"1",2933941,"1",
"900000",240000,"2",2933941,"1",
"900000",240000,"3",2933941,"1",
"900000",240000,"4",2933941,"1",
"900000",240000,"5",2933941,"1",
"900180",15,"1",2933941,"1",
"900180",205,"2",2933941,"1",
"900180",3653,"3",2933941,"1",
"900180",2316,"4",2933941,"1",
"900180",18359,"5",2933941,"1",
"980000",240015,"1",2933941,"1",
"980000",240205,"2",2933941,"1",
"980000",243653,"3",2933941,"1",
"980000",242316,"4",2933941,"1",
"980000",258359,"5",2933941,"1",
"980070",240015,"1",2933941,"1",
"980070",240205,"2",2933941,"1",
"980070",243653,"3",2933941,"1",
"980070",242316,"4",2933941,"1",
"980070",258359,"5",2933941,"1",
"900000",240000,"1",2933942,"1",
"900000",240000,"2",2933942,"1",
"900000",240000,"3",2933942,"1",
"900000",240000,"4",2933942,"1",
"900000",240000,"5",2933942,"1",
"900180",50,"1",2933942,"1",
"900180",30,"2",2933942,"1",
"900180",358,"3",2933942,"1",
"900180",93,"4",2933942,"1",
"900180",1007,"5",2933942,"1",
"980000",240050,"1",2933942,"1",
"980000",240030,"2",2933942,"1",
"980000",240358,"3",2933942,"1",
"980000",240093,"4",2933942,"1",
"980000",241007,"5",2933942,"1",
"980070",240050,"1",2933942,"1",
"980070",240030,"2",2933942,"1",
"980070",240358,"3",2933942,"1",
"980070",240093,"4",2933942,"1",
"980070",241007,"5",2933942,"1",
"800940",10967,"1",2933961,"1","T"
"800940",10967,"2",2933961,"1","T"
"800940",10967,"3",2933961,"1","T"
"800940",10967,"4",2933961,"1","T"
"800940",10967,"5",2933961,"1","T"
"900000",100000,"1",2933961,"1",
"900000",100000,"2",2933961,"1",
"900000",100000,"3",2933961,"1",
"900000",100000,"4",2933961,"1",
"900000",100000,"5",2933961,"1",
"900030",19259,"1",2933961,"1",
"900030",19259,"2",2933961,"1",
"900030",19259,"3",2933961,"1",
"900030",19259,"4",2933961,"1",
"900030",19259,"5",2933961,"1",
"900160",100000,"1",2933961,"1",
"900160",100000,"2",2933961,"1",
"900160",100000,"3",2933961,"1",
"900160",100000,"4",2933961,"1",
"900160",100000,"5",2933961,"1",
"980000",219259,"1",2933961,"1",
"980000",219259,"2",2933961,"1",
"980000",219259,"3",2933961,"1",
"980000",219259,"4",2933961,"1",
"980000",219259,"5",2933961,"1",
"980070",219259,"1",2933961,"1",
"980070",219259,"2",2933961,"1",
"980070",219259,"3",2933961,"1",
"980070",219259,"4",2933961,"1",
"980070",219259,"5",2933961,"1",
"800940",10967,"1",2933962,"1","T"
"800940",10967,"2",2933962,"1","T"
"800940",10967,"3",2933962,"1","T"
"800940",10967,"4",2933962,"1","T"
"800940",10967,"5",2933962,"1","T"
"900000",100000,"1",2933962,"1",
"900000",100000,"2",2933962,"1",
"900000",100000,"3",2933962,"1",
"900000",100000,"4",2933962,"1",
"900000",100000,"5",2933962,"1",
"900030",19259,"1",2933962,"1",
"900030",19259,"2",2933962,"1",
"900030",19259,"3",2933962,"1",
"900030",19259,"4",2933962,"1",
"900030",19259,"5",2933962,"1",
"900160",100000,"1",2933962,"1",
"900160",100000,"2",2933962,"1",
"900160",100000,"3",2933962,"1",
"900160",100000,"4",2933962,"1",
"900160",100000,"5",2933962,"1",
"980000",219259,"1",2933962,"1",
"980000",219259,"2",2933962,"1",
"980000",219259,"3",2933962,"1",
"980000",219259,"4",2933962,"1",
"980000",219259,"5",2933962,"1",
"980070",219259,"1",2933962,"1",
"980070",219259,"2",2933962,"1",
"980070",219259,"3",2933962,"1",
"980070",219259,"4",2933962,"1",
"980070",219259,"5",2933962,"1",
"900000",64000,"1",2933972,"1",
"900000",64000,"2",2933972,"1",
"900000",64000,"3",2933972,"1",
"900000",64000,"4",2933972,"1",
"900000",64000,"5",2933972,"1",
"980000",64000,"1",2933972,"1",
"980000",64000,"2",2933972,"1",
"980000",64000,"3",2933972,"1",
"980000",64000,"4",2933972,"1",
"980000",64000,"5",2933972,"1",
"980070",67500,"1",2933972,"1",
"980070",67500,"2",2933972,"1",
"980070",67500,"3",2933972,"1",
"980070",67500,"4",2933972,"1",
"980070",67500,"5",2933972,"1",
"900000",128606,"1",2933982,"1",
"900000",73175,"2",2933982,"1",
"900000",70259,"3",2933982,"1",
"900000",100054,"4",2933982,"1",
"900000",84204,"5",2933982,"1",
"900150",2268,"1",2933982,"1",
"900150",6516,"2",2933982,"1",
"900150",3780,"3",2933982,"1",
"900150",8844,"4",2933982,"1",
"900150",2280,"5",2933982,"1",
"980000",130874,"1",2933982,"1",
"980000",79691,"2",2933982,"1",
"980000",74039,"3",2933982,"1",
"980000",108898,"4",2933982,"1",
"980000",86484,"5",2933982,"1",
"980070",130874,"1",2933982,"1",
"980070",79691,"2",2933982,"1",
"980070",74039,"3",2933982,"1",
"980070",108898,"4",2933982,"1",
"980070",86484,"5",2933982,"1",
"900030",16811,"1",2933991,"1",
"900030",16775,"2",2933991,"1",
"900030",14663,"3",2933991,"1",
"900030",13847,"4",2933991,"1",
"900030",15143,"5",2933991,"1",
"980000",16811,"1",2933991,"1",
"980000",16775,"2",2933991,"1",
"980000",14663,"3",2933991,"1",
"980000",13847,"4",2933991,"1",
"980000",15143,"5",2933991,"1",
"980070",16811,"1",2933991,"1",
"980070",16775,"2",2933991,"1",
"980070",14663,"3",2933991,"1",
"980070",13847,"4",2933991,"1",
"980070",15143,"5",2933991,"1",
"900030",13991,"1",2933992,"1",
"900030",14435,"2",2933992,"1",
"900030",13823,"3",2933992,"1",
"900030",15071,"4",2933992,"1",
"900030",14903,"5",2933992,"1",
"980000",13991,"1",2933992,"1",
"980000",14435,"2",2933992,"1",
"980000",13823,"3",2933992,"1",
"980000",15071,"4",2933992,"1",
"980000",14903,"5",2933992,"1",
"980070",13991,"1",2933992,"1",
"980070",14435,"2",2933992,"1",
"980070",13823,"3",2933992,"1",
"980070",15071,"4",2933992,"1",
"980070",14903,"5",2933992,"1",
"900030",20879,"1",2934001,"1",
"900030",27779,"2",2934001,"1",
"900030",23663,"3",2934001,"1",
"900030",10067,"4",2934001,"1",
"900030",23087,"5",2934001,"1",
"980000",20879,"1",2934001,"1",
"980000",27779,"2",2934001,"1",
"980000",23663,"3",2934001,"1",
